timestamp,server,dataset
0,0,0
0,1,0
1,2,0
2,3,1
3,1,0
3,4,1
3,2,0
4,5,0
4,4,2
5,2,1
5,1,1
5,2,0
6,6,0
6,5,1
6,5,1
7,2,0
7,4,1
7,4,1
7,2,1
8,4,1
9,0,0
9,2,0
10,2,1
10,0,0
10,4,0
11,1,0
11,7,1
12,5,1
12,6,0
12,8,0
13,9,2
13,4,2
13,4,1
14,4,1
14,2,2
15,5,1
15,4,0
16,9,0
16,4,0
17,0,2
17,1,1
17,1,0
18,2,1
19,6,1
19,7,1
19,0,2
20,6,0
20,4,2
20,2,2
20,4,1
21,1,2
21,9,0
22,1,2
23,1,2
23,1,0
23,1,0
24,6,2
24,1,1
25,4,0
25,9,1
25,0,1
25,4,1
25,6,2
25,2,2
25,8,2
26,8,2
26,4,0
26,4,1
27,4,2
28,4,0
28,4,1
29,9,1
30,8,1
31,8,1
32,3,2
33,4,0
33,1,1
34,7,0
34,2,2
35,6,2
36,4,1
37,1,1
38,2,0
38,7,0
39,8,1
40,5,0
41,8,0
42,2,0
43,4,1
43,1,2
43,8,2
44,1,1
45,4,2
46,8,2
46,4,2
47,8,2
48,3,2
48,2,1
49,6,2
50,6,1
50,4,2
50,2,2
51,4,1
51,1,2
51,4,2
51,4,2
52,7,2
52,2,1
53,0,1
54,2,1
54,1,2
55,0,2
56,1,2
57,7,0
57,9,2
58,6,2
59,3,1
59,3,1
59,4,2
60,2,1
60,1,1
61,7,2
62,2,1
63,4,2
64,8,2
65,0,0
66,1,2
67,4,2
67,2,2
68,2,2
69,4,2
70,8,1
70,8,2
71,0,0
71,4,2
71,9,2
72,4,1
73,2,1
74,2,1
74,4,2
75,6,2
75,2,2
76,2,2
77,3,2
78,4,0
79,1,1
80,5,1
81,1,1
82,9,2
83,2,2
84,9,2
84,6,2
84,2,0
85,4,2
86,0,1
86,8,2
86,2,2
87,0,2
87,6,2
88,1,0
89,8,0
90,2,2
90,4,2
91,2,2
91,4,0
91,4,1
92,6,2
92,5,2
93,4,1
94,1,0
95,2,0
96,7,2
96,9,1
97,2,1
98,2,1
99,4,1
99,0,2
100,3,0
100,9,2
100,9,2
101,8,1
101,0,3
102,4,0
103,7,2
103,4,2
104,9,2
105,2,1
106,6,1
107,9,2
108,8,1
109,9,1
110,4,2
111,0,1
112,2,2
113,9,0
113,2,2
114,3,1
115,7,0
116,0,0
117,4,2
118,6,2
118,6,0
119,8,2
120,0,1
121,3,1
122,2,1
123,7,2
123,2,0
123,2,1
123,0,1
124,2,2
125,4,1
126,2,0
126,5,0
127,9,1
128,5,2
129,6,2
129,7,2
130,2,2
131,4,0
132,3,2
133,9,0
133,2,0
133,4,2
133,5,2
134,7,1
135,1,2
136,1,1
137,1,1
138,2,1
139,4,2
140,5,0
141,7,1
142,5,0
143,4,2
144,4,2
145,3,1
146,8,2
146,4,0
147,9,0
148,7,0
148,2,2
148,2,2
149,3,0
150,7,1
151,4,2
152,4,2
153,4,0
154,4,0
155,0,0
155,7,2
156,2,0
157,3,1
158,9,0
159,2,2
160,9,2
160,3,1
161,4,0
162,2,2
163,1,0
163,8,2
164,8,2
164,0,2
165,1,2
166,0,1
167,9,0
168,4,1
169,6,2
170,1,2
171,6,0
171,1,1
172,5,1
173,9,2
174,3,3
174,0,1
175,9,2
175,2,2
176,1,2
177,2,0
178,4,2
179,7,2
180,7,2
180,6,0
181,5,1
181,2,0
181,3,0
182,0,2
183,3,2
183,1,0
184,1,1
184,4,2
185,2,0
186,2,2
187,2,0
188,4,1
188,0,3
188,4,2
189,2,2
190,8,1
190,4,2
191,4,2
192,6,1
193,2,2
193,8,3
194,6,2
194,2,2
195,1,2
196,1,1
197,7,2
197,4,1
198,2,2
198,3,1
198,4,1
199,6,0
199,3,2
199,2,3
199,5,0
