slot,timestamp,action_count,adds,removes,actions,placement_before,placement_after,demand,attachment_points,total_requests,demand_pairs,covered_pairs_after,uncovered_pairs_after,coverage_ratio_after,objective,R_nominal,B_nominal,R_wc,B_wc,Op_cost,solve_time,status
1,0,5,1,4,"ADD:4,8;REMOVE:0,4;REMOVE:0,8;REMOVE:1,5;REMOVE:1,7",0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:5|7|8;3:5|6|8;4:7|8|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,2@0=1;2@2=1;4@5=1;4@7=1;4@8=1;5@9=1,"0,2,5,7,8,9",6,6,6,0,1.0,0.087713519805868,0.13793103448275862,0.04978248532310938,0.0,0.0,0.1,0.06134605407714844,Feasible|selected=beam_search
2,1,4,0,4,"REMOVE:2,5;REMOVE:2,8;REMOVE:3,5;REMOVE:3,6",0:-;1:-;2:5|7|8;3:5|6|8;4:7|8|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:7;3:8;4:7|8|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,2@1=1;2@2=1;2@3=2;5@7=1,"1,2,3,7",5,4,4,0,1.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.0390017032623291,Feasible|selected=beam_search
3,2,4,0,4,"REMOVE:3,8;REMOVE:4,7;REMOVE:4,8;REMOVE:5,0",0:-;1:-;2:7;3:8;4:7|8|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:7;3:-;4:9;5:1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,2@3=1;4@3=1,3,2,2,2,0,1.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.020450115203857422,Feasible|selected=beam_search
4,3,4,0,4,"REMOVE:5,1;REMOVE:5,8;REMOVE:5,9;REMOVE:6,8",0:-;1:-;2:7;3:-;4:9;5:1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:7;3:-;4:9;5:-;6:-;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,2@1=1;4@1=2,1,3,2,2,0,1.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.019487857818603516,Feasible|selected=beam_search
5,4,6,2,4,"ADD:5,4;ADD:6,3;REMOVE:4,9;REMOVE:7,0;REMOVE:7,3;REMOVE:7,4",0:-;1:-;2:7;3:-;4:9;5:-;6:-;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:7;3:-;4:-;5:4;6:3;7:5|6;8:3|4|5|8;9:0|7|8,2@4=1;2@6=1;2@7=1;5@4=1;6@3=1,"4,6,7,3",5,5,5,0,1.0,0.14200776430321216,0.2857142857142857,0.05629347858892648,0.0,0.0,0.2,0.023998022079467773,Feasible|selected=beam_search
6,5,5,1,4,"ADD:4,7;REMOVE:5,4;REMOVE:6,3;REMOVE:7,5;REMOVE:7,6",0:-;1:-;2:7;3:-;4:-;5:4;6:3;7:5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:7;3:-;4:7;5:-;6:-;7:-;8:3|4|5|8;9:0|7|8,2@4=1;4@7=1,"4,7",2,2,2,0,1.0,0.29087011719189426,0.3333333333333333,0.057536783858560966,0.0,0.0,0.1,0.017477750778198242,Feasible|selected=beam_search
7,6,4,0,4,"REMOVE:2,7;REMOVE:8,3;REMOVE:8,4;REMOVE:8,5",0:-;1:-;2:7;3:-;4:7;5:-;6:-;7:-;8:3|4|5|8;9:0|7|8,0:-;1:-;2:-;3:-;4:7;5:-;6:-;7:-;8:8;9:0|7|8,4@4=1,4,1,1,1,0,1.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.013585805892944336,Feasible|selected=beam_search
8,7,5,1,4,"ADD:6,5;REMOVE:4,7;REMOVE:8,8;REMOVE:9,0;REMOVE:9,7",0:-;1:-;2:-;3:-;4:7;5:-;6:-;7:-;8:8;9:0|7|8,0:-;1:-;2:-;3:-;4:-;5:-;6:5;7:-;8:-;9:8,6@5=1,5,1,1,1,0,1.0,0.7920827386445232,0.8,0.09208273864452313,0.0,0.0,0.1,0.010908126831054688,Feasible|selected=beam_search
9,8,3,1,2,"ADD:4,8;REMOVE:6,5;REMOVE:9,8",0:-;1:-;2:-;3:-;4:-;5:-;6:5;7:-;8:-;9:8,0:-;1:-;2:-;3:-;4:8;5:-;6:-;7:-;8:-;9:-,4@1=1;4@2=1;4@8=1,"1,2,8",3,3,3,0,1.0,0.9383950647866784,1.0,0.03839506478667843,0.0,0.0,0.1,0.018605947494506836,Feasible|selected=beam_search
10,9,3,2,1,"ADD:3,8;ADD:4,3;REMOVE:4,8",0:-;1:-;2:-;3:-;4:8;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:8;4:3;5:-;6:-;7:-;8:-;9:-,3@8=1;4@3=1,"8,3",2,2,2,0,1.0,0.907851506265555,1.0,0.107851506265555,0.0,0.0,0.2,0.01516413688659668,Feasible|selected=beam_search
