Slot,Action,Dataset,Server
1,ADD,4,5
1,ADD,4,8
1,REMOVE,0,4
1,REMOVE,0,8
1,REMOVE,1,5
1,REMOVE,1,7
2,ADD,2,3
2,ADD,5,7
2,REMOVE,2,5
2,REMOVE,2,8
2,REMOVE,3,5
2,REMOVE,3,6
2,REMOVE,3,8
2,REMOVE,4,5
2,REMOVE,4,7
2,REMOVE,4,8
2,REMOVE,4,9
2,REMOVE,5,0
2,REMOVE,5,1
2,REMOVE,5,8
2,REMOVE,6,8
2,REMOVE,7,0
2,REMOVE,7,3
2,REMOVE,7,5
2,REMOVE,7,6
2,REMOVE,8,3
2,REMOVE,8,4
2,REMOVE,8,5
2,REMOVE,8,8
2,REMOVE,9,0
2,REMOVE,9,7
2,REMOVE,9,8
3,ADD,2,9
3,ADD,4,3
3,ADD,4,9
3,REMOVE,2,7
3,REMOVE,5,7
3,REMOVE,5,9
3,REMOVE,7,4
4,ADD,2,1
4,ADD,4,1
4,REMOVE,2,3
4,REMOVE,4,3
5,ADD,2,4
5,ADD,2,8
5,ADD,5,4
5,ADD,5,8
5,ADD,6,3
5,ADD,6,9
5,REMOVE,2,1
5,REMOVE,2,9
5,REMOVE,4,1
5,REMOVE,4,9
6,ADD,4,7
6,ADD,4,9
6,REMOVE,5,4
6,REMOVE,5,8
6,REMOVE,6,3
6,REMOVE,6,9
7,ADD,4,4
7,ADD,4,8
7,REMOVE,2,4
7,REMOVE,2,8
7,REMOVE,4,7
7,REMOVE,4,9
8,ADD,6,5
8,ADD,6,8
8,REMOVE,4,4
8,REMOVE,4,8
9,ADD,4,7
9,ADD,4,8
9,REMOVE,6,5
9,REMOVE,6,8
10,ADD,3,7
10,ADD,3,8
10,ADD,4,3
10,ADD,4,9
10,REMOVE,4,7
10,REMOVE,4,8
11,ADD,4,8
11,ADD,5,6
11,ADD,5,9
11,REMOVE,3,7
11,REMOVE,3,8
11,REMOVE,4,3
12,ADD,4,3
12,REMOVE,4,8
12,REMOVE,5,6
12,REMOVE,5,9
13,ADD,3,7
13,ADD,3,8
13,ADD,4,0
13,ADD,4,7
13,ADD,5,7
13,ADD,5,8
13,REMOVE,4,3
13,REMOVE,4,9
14,ADD,2,2
14,ADD,2,7
14,ADD,4,5
14,ADD,4,8
14,REMOVE,3,7
14,REMOVE,3,8
14,REMOVE,4,0
14,REMOVE,4,7
14,REMOVE,5,7
14,REMOVE,5,8
15,ADD,2,6
15,ADD,2,9
15,ADD,4,9
15,ADD,5,1
15,ADD,5,9
15,REMOVE,2,2
15,REMOVE,2,7
15,REMOVE,4,5
16,ADD,2,2
16,ADD,2,7
16,ADD,4,5
16,REMOVE,2,6
16,REMOVE,2,9
16,REMOVE,4,9
16,REMOVE,5,1
16,REMOVE,5,9
17,ADD,4,3
17,ADD,4,9
17,REMOVE,2,2
17,REMOVE,2,7
17,REMOVE,4,5
17,REMOVE,4,8
18,ADD,4,4
18,ADD,4,8
18,REMOVE,4,3
18,REMOVE,4,9
19,ADD,5,2
19,ADD,5,9
19,REMOVE,4,4
19,REMOVE,4,8
20,ADD,4,0
20,ADD,4,7
20,ADD,6,7
20,ADD,6,9
20,REMOVE,5,2
20,REMOVE,5,9
21,ADD,2,7
21,ADD,2,9
21,ADD,4,4
21,ADD,4,8
21,REMOVE,4,0
