Slot,Objective,R_nom,B_nom,R_wc,B_wc,Op,Adds,Removes,Time(s)
1,0.0817,0.1379,0.0654,0.5517,0.0430,0.2000,2,4,1.50
2,0.5779,0.8889,0.0618,0.0741,0.0126,0.2000,2,24,0.95
3,0.4139,0.8000,0.0924,0.0000,0.0000,0.3000,3,4,0.31
4,0.3031,0.5000,0.1060,0.0000,0.0917,0.2000,2,2,0.47
5,0.2511,1.0000,0.0598,0.0000,0.0163,0.6000,6,4,0.71
6,0.4459,0.6667,0.1156,0.0000,0.1004,0.2000,2,4,0.73
7,0.6926,1.0000,0.1157,0.0000,0.0000,0.2000,2,4,0.43
8,0.6737,1.0000,0.0921,0.0000,0.0000,0.2000,2,2,0.46
9,0.6307,1.0000,0.0384,0.0000,0.0000,0.2000,2,2,0.66
10,0.4940,1.0000,0.1079,0.0000,0.0388,0.4000,4,2,0.57
11,0.3274,0.7500,0.0282,0.0000,0.0240,0.3000,3,3,0.74
12,0.5995,0.7500,0.1025,0.0000,0.0876,0.1000,1,3,0.42
13,0.2634,1.0000,0.0735,0.0000,0.0230,0.6000,6,2,0.66
14,0.4222,1.0000,0.0277,0.0000,0.0000,0.4000,4,6,0.81
15,0.1404,0.7500,0.0421,0.0000,0.0336,0.5000,5,3,0.58
16,0.4250,0.8333,0.0606,0.0000,0.0490,0.3000,3,5,0.75
17,0.6377,1.0000,0.0472,0.0000,0.0000,0.2000,2,4,0.53
18,0.6675,1.0000,0.0844,0.0000,0.0000,0.2000,2,2,0.43
19,0.6830,1.0000,0.1037,0.0000,0.0000,0.2000,2,2,0.42
20,0.4630,1.0000,0.0745,0.0000,0.0167,0.4000,4,2,0.64
21,0.4914,1.0000,0.1039,0.0000,0.0412,0.4000,4,4,0.57
22,0.6259,1.0000,0.0324,0.0000,0.0000,0.2000,2,4,0.67
23,0.3199,0.5000,0.0248,0.0000,0.0000,0.1000,1,1,0.64
24,0.4867,1.0000,0.0988,0.0000,0.0381,0.4000,4,2,0.54
25,0.0489,0.5000,0.0510,0.0000,0.0408,0.4000,4,2,0.75
26,0.5228,0.8333,0.0590,0.0000,0.0449,0.2000,2,5,0.62
27,0.4250,1.0000,0.0286,0.0000,0.0103,0.4000,4,3,0.83
28,0.3894,0.7500,0.0998,0.0000,0.0478,0.3000,3,3,0.52
29,-0.2484,0.5000,0.0527,0.0000,0.0476,0.7000,7,2,1.20
30,0.1733,0.4444,0.0584,0.3333,0.0217,0.3000,3,4,0.69
31,0.4403,0.8750,0.0450,0.0000,0.0212,0.3000,3,7,0.90
32,0.2654,1.0000,0.0764,0.0000,0.0216,0.6000,6,4,0.70
33,0.0756,0.6667,0.0479,0.0000,0.0196,0.5000,5,4,1.11
34,0.6973,0.8571,0.1154,0.0000,0.0961,0.1000,1,6,0.42
35,0.4000,1.0000,0.0000,0.0000,0.0000,0.4000,4,2,0.89
36,-0.1636,0.7500,0.0397,0.0000,0.0231,0.8000,8,3,1.33
37,0.3561,0.7778,0.0351,0.0000,0.0289,0.3000,3,7,0.77
38,0.2815,0.4000,0.0694,0.0000,0.0299,0.1000,1,2,0.63
39,0.3554,0.7500,0.0619,0.0000,0.0294,0.3000,3,3,0.72
40,0.4252,1.0000,0.0315,0.0000,0.0000,0.4000,4,4,0.98
41,-0.0071,0.7500,0.0983,0.0000,0.0715,0.7000,7,3,0.83
42,0.1958,0.5000,0.0502,0.2500,0.0279,0.3000,3,4,1.08
