slot,timestamp,action_count,adds,removes,actions,placement_before,placement_after,demand,attachment_points,total_requests,demand_pairs,covered_pairs_after,uncovered_pairs_after,coverage_ratio_after,objective,R_nominal,B_nominal,R_wc,B_wc,Op_cost,solve_time,status
1,0,5,1,4,"ADD:4,8;REMOVE:0,4;REMOVE:0,8;REMOVE:1,5;REMOVE:1,7",0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:5|7|8;3:5|6|8;4:7|8|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,2@0=1;2@2=1;4@5=1;4@7=1;4@8=1;5@9=1,"0,2,5,7,8,9",6,6,6,0,1.0,0.087713519805868,0.13793103448275862,0.04978248532310938,0.0,0.0,0.1,0.33965396881103516,Feasible|selected=beam_search
2,1,26,1,25,"ADD:2,3;REMOVE:2,5;REMOVE:2,7;REMOVE:2,8;REMOVE:3,5;REMOVE:3,6;REMOVE:3,8;REMOVE:4,7;REMOVE:4,8;REMOVE:4,9;REMOVE:5,0;REMOVE:5,1;REMOVE:5,8;REMOVE:6,8;REMOVE:7,0;REMOVE:7,3;REMOVE:7,4;REMOVE:7,5;REMOVE:7,6;REMOVE:8,3;REMOVE:8,4;REMOVE:8,5;REMOVE:8,8;REMOVE:9,0;REMOVE:9,7;REMOVE:9,8",0:-;1:-;2:5|7|8;3:5|6|8;4:7|8|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:3;3:-;4:-;5:9;6:-;7:-;8:-;9:-,2@1=1;2@2=1;2@3=2;5@7=1,"1,2,3,7",5,4,4,0,1.0,0.9068400935061448,0.9615384615384616,0.04530163196768329,0.0,0.0,0.1,0.33300304412841797,Feasible|selected=greedy
3,2,4,2,2,"ADD:2,1;ADD:4,3;REMOVE:2,3;REMOVE:5,9",0:-;1:-;2:3;3:-;4:-;5:9;6:-;7:-;8:-;9:-,0:-;1:-;2:1;3:-;4:3;5:-;6:-;7:-;8:-;9:-,2@3=1;4@3=1,3,2,2,2,0,1.0,0.8504218963033687,1.0,0.050421896303368595,0.0,0.0,0.2,0.20414113998413086,Feasible|selected=beam_search
4,3,2,1,1,"ADD:4,1;REMOVE:4,3",0:-;1:-;2:1;3:-;4:3;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:1;3:-;4:1;5:-;6:-;7:-;8:-;9:-,2@1=1;4@1=2,1,3,2,2,0,1.0,0.5059842636045686,0.5,0.10598426360456857,0.0,0.0,0.1,0.1764507293701172,Feasible|selected=greedy
5,4,5,3,2,"ADD:2,4;ADD:5,4;ADD:6,3;REMOVE:2,1;REMOVE:4,1",0:-;1:-;2:1;3:-;4:1;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:4;3:-;4:-;5:4;6:3;7:-;8:-;9:-,2@4=1;2@6=1;2@7=1;5@4=1;6@3=1,"4,6,7,3",5,5,5,0,1.0,0.7598044750433874,1.0,0.059804475043387546,0.0,0.0,0.30000000000000004,0.24942517280578613,Feasible|selected=beam_search
6,5,3,1,2,"ADD:4,7;REMOVE:5,4;REMOVE:6,3",0:-;1:-;2:4;3:-;4:-;5:4;6:3;7:-;8:-;9:-,0:-;1:-;2:4;3:-;4:7;5:-;6:-;7:-;8:-;9:-,2@4=1;4@7=1,"4,7",2,2,2,0,1.0,0.6822460049922605,0.6666666666666666,0.1155793383255939,0.0,0.0,0.1,0.20441818237304688,Feasible|selected=greedy
7,6,3,1,2,"ADD:4,4;REMOVE:2,4;REMOVE:4,7",0:-;1:-;2:4;3:-;4:7;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:4;5:-;6:-;7:-;8:-;9:-,4@4=1,4,1,1,1,0,1.0,1.015718550795881,1.0,0.11571855079588109,0.0,0.0,0.1,0.18399500846862793,Feasible|selected=beam_search
8,7,2,1,1,"ADD:6,5;REMOVE:4,4",0:-;1:-;2:-;3:-;4:4;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:-;5:-;6:5;7:-;8:-;9:-,6@5=1,5,1,1,1,0,1.0,0.9920827386445231,1.0,0.09208273864452313,0.0,0.0,0.1,0.17535781860351562,Feasible|selected=beam_search
9,8,2,1,1,"ADD:4,8;REMOVE:6,5",0:-;1:-;2:-;3:-;4:-;5:-;6:5;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:8;5:-;6:-;7:-;8:-;9:-,4@1=1;4@2=1;4@8=1,"1,2,8",3,3,3,0,1.0,0.9383950647866784,1.0,0.03839506478667843,0.0,0.0,0.1,0.2064199447631836,Feasible|selected=beam_search
10,9,3,2,1,"ADD:3,8;ADD:4,3;REMOVE:4,8",0:-;1:-;2:-;3:-;4:8;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:8;4:3;5:-;6:-;7:-;8:-;9:-,3@8=1;4@3=1,"8,3",2,2,2,0,1.0,0.907851506265555,1.0,0.107851506265555,0.0,0.0,0.2,0.20114994049072266,Feasible|selected=beam_search
