Slot,Action,Dataset,Server
1,ADD,2,2
1,ADD,4,8
1,REMOVE,0,4
1,REMOVE,0,8
1,REMOVE,1,5
1,REMOVE,1,7
1,REMOVE,2,5
1,REMOVE,2,7
1,REMOVE,2,8
1,REMOVE,3,5
1,REMOVE,3,6
1,REMOVE,3,8
1,REMOVE,4,7
1,REMOVE,4,9
1,REMOVE,5,0
1,REMOVE,5,1
1,REMOVE,5,8
1,REMOVE,6,8
1,REMOVE,7,0
1,REMOVE,7,4
1,REMOVE,7,5
1,REMOVE,7,6
1,REMOVE,8,3
1,REMOVE,8,4
1,REMOVE,8,5
1,REMOVE,8,8
1,REMOVE,9,0
1,REMOVE,9,7
1,REMOVE,9,8
2,ADD,2,3
2,ADD,5,7
2,REMOVE,2,2
2,REMOVE,4,8
2,REMOVE,5,9
2,REMOVE,7,3
3,ADD,4,3
3,REMOVE,5,7
4,ADD,2,1
4,ADD,4,1
4,REMOVE,2,3
4,REMOVE,4,3
5,ADD,2,7
5,ADD,5,4
5,ADD,6,3
5,REMOVE,2,1
5,REMOVE,4,1
6,ADD,2,4
6,ADD,4,7
6,REMOVE,2,7
6,REMOVE,5,4
6,REMOVE,6,3
7,ADD,4,4
7,REMOVE,2,4
7,REMOVE,4,7
8,ADD,6,5
8,REMOVE,4,4
9,ADD,4,8
9,REMOVE,6,5
10,ADD,3,8
10,ADD,4,3
10,REMOVE,4,8
11,ADD,4,9
11,ADD,5,6
11,REMOVE,3,8
11,REMOVE,4,3
12,ADD,4,3
12,REMOVE,4,9
12,REMOVE,5,6
13,ADD,3,8
13,ADD,4,0
13,ADD,5,8
13,REMOVE,4,3
14,ADD,2,7
14,ADD,4,5
14,REMOVE,3,8
14,REMOVE,4,0
14,REMOVE,5,8
15,ADD,2,6
15,ADD,4,9
15,ADD,5,1
15,REMOVE,2,7
15,REMOVE,4,5
16,ADD,2,2
16,ADD,4,5
16,REMOVE,2,6
16,REMOVE,4,9
16,REMOVE,5,1
17,ADD,4,3
17,REMOVE,2,2
17,REMOVE,4,5
18,ADD,4,4
18,REMOVE,4,3
19,ADD,5,2
19,REMOVE,4,4
20,ADD,4,0
20,ADD,6,7
20,REMOVE,5,2
21,ADD,2,9
21,ADD,4,4
21,REMOVE,4,0
21,REMOVE,6,7
22,ADD,4,2
22,REMOVE,2,9
22,REMOVE,4,4
23,ADD,4,7
23,REMOVE,4,2
24,ADD,5,9
24,ADD,6,3
24,REMOVE,4,7
25,ADD,4,2
25,ADD,6,1
25,REMOVE,6,3
26,ADD,4,8
26,REMOVE,4,2
26,REMOVE,5,9
26,REMOVE,6,1
27,ADD,4,7
27,ADD,5,4
27,REMOVE,4,8
28,ADD,6,2
28,REMOVE,5,4
29,ADD,2,7
29,ADD,4,3
29,ADD,5,5
29,ADD,6,6
29,REMOVE,4,7
29,REMOVE,6,2
30,ADD,4,8
30,ADD,6,4
30,REMOVE,2,7
30,REMOVE,4,3
30,REMOVE,5,5
30,REMOVE,6,6
31,ADD,4,5
31,ADD,6,8
31,REMOVE,4,8
31,REMOVE,6,4
32,ADD,3,6
32,ADD,4,6
32,ADD,5,1
32,REMOVE,4,5
32,REMOVE,6,8
33,ADD,4,8
33,ADD,5,7
33,ADD,6,7
33,REMOVE,3,6
33,REMOVE,4,6
33,REMOVE,5,1
34,ADD,4,4
34,REMOVE,4,8
34,REMOVE,5,7
34,REMOVE,6,7
35,ADD,4,9
35,ADD,6,7
35,REMOVE,4,4
36,ADD,3,8
36,ADD,4,7
36,ADD,5,3
36,REMOVE,4,9
37,ADD,4,1
37,REMOVE,3,8
37,REMOVE,4,7
37,REMOVE,5,3
38,ADD,4,6
38,ADD,6,9
38,REMOVE,4,1
38,REMOVE,6,7
39,ADD,4,7
39,ADD,6,4
39,REMOVE,4,6
39,REMOVE,6,9
40,ADD,2,2
40,ADD,4,8
40,REMOVE,4,7
40,REMOVE,6,4
41,ADD,2,1
41,ADD,5,4
41,ADD,6,6
41,REMOVE,2,2
