slot,timestamp,action_count,adds,removes,actions,placement_before,placement_after,demand,attachment_points,total_requests,demand_pairs,covered_pairs_after,uncovered_pairs_after,coverage_ratio_after,objective,R_nominal,B_nominal,R_wc,B_wc,Op_cost,solve_time,status
1,0,29,2,27,"ADD:2,2;ADD:4,8;REMOVE:0,4;REMOVE:0,8;REMOVE:1,5;REMOVE:1,7;REMOVE:2,5;REMOVE:2,7;REMOVE:2,8;REMOVE:3,5;REMOVE:3,6;REMOVE:3,8;REMOVE:4,7;REMOVE:4,9;REMOVE:5,0;REMOVE:5,1;REMOVE:5,8;REMOVE:6,8;REMOVE:7,0;REMOVE:7,4;REMOVE:7,5;REMOVE:7,6;REMOVE:8,3;REMOVE:8,4;REMOVE:8,5;REMOVE:8,8;REMOVE:9,0;REMOVE:9,7;REMOVE:9,8",0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:2;3:-;4:8;5:9;6:-;7:3;8:-;9:-,2@0=1;2@2=1;4@5=1;4@7=1;4@8=1;5@9=1,"0,2,5,7,8,9",6,6,6,0,1.0,0.7810497195799333,0.9310344827586207,0.050015236821312585,0.0,0.0,0.2,0.1778419017791748,Feasible
2,1,6,2,4,"ADD:2,3;ADD:5,7;REMOVE:2,2;REMOVE:4,8;REMOVE:5,9;REMOVE:7,3",0:-;1:-;2:2;3:-;4:8;5:9;6:-;7:3;8:-;9:-,0:-;1:-;2:3;3:-;4:-;5:7;6:-;7:-;8:-;9:-,2@1=1;2@2=1;2@3=2;5@7=1,"1,2,3,7",5,4,4,0,1.0,0.8617656735981307,1.0,0.06176567359813059,0.0,0.0,0.2,0.14977407455444336,Feasible
3,2,2,1,1,"ADD:4,3;REMOVE:5,7",0:-;1:-;2:3;3:-;4:-;5:7;6:-;7:-;8:-;9:-,0:-;1:-;2:3;3:-;4:3;5:-;6:-;7:-;8:-;9:-,2@3=1;4@3=1,3,2,2,2,0,1.0,0.49236622651321205,0.5,0.092366226513212,0.0,0.0,0.1,0.13316726684570312,Feasible
4,3,4,2,2,"ADD:2,1;ADD:4,1;REMOVE:2,3;REMOVE:4,3",0:-;1:-;2:3;3:-;4:3;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:1;3:-;4:1;5:-;6:-;7:-;8:-;9:-,2@1=1;4@1=2,1,3,2,2,0,1.0,0.9059842636045685,1.0,0.10598426360456857,0.0,0.0,0.2,0.15060925483703613,Feasible
5,4,5,3,2,"ADD:2,7;ADD:5,4;ADD:6,3;REMOVE:2,1;REMOVE:4,1",0:-;1:-;2:1;3:-;4:1;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:7;3:-;4:-;5:4;6:3;7:-;8:-;9:-,2@4=1;2@6=1;2@7=1;5@4=1;6@3=1,"4,6,7,3",5,5,5,0,1.0,0.7562934785889264,1.0,0.05629347858892648,0.0,0.0,0.30000000000000004,0.19986796379089355,Feasible
6,5,5,2,3,"ADD:2,4;ADD:4,7;REMOVE:2,7;REMOVE:5,4;REMOVE:6,3",0:-;1:-;2:7;3:-;4:-;5:4;6:3;7:-;8:-;9:-,0:-;1:-;2:4;3:-;4:7;5:-;6:-;7:-;8:-;9:-,2@4=1;4@7=1,"4,7",2,2,2,0,1.0,0.9155793383255939,1.0,0.1155793383255939,0.0,0.0,0.2,0.15482282638549805,Feasible
7,6,3,1,2,"ADD:4,4;REMOVE:2,4;REMOVE:4,7",0:-;1:-;2:4;3:-;4:7;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:4;5:-;6:-;7:-;8:-;9:-,4@4=1,4,1,1,1,0,1.0,1.015718550795881,1.0,0.11571855079588109,0.0,0.0,0.1,0.14029502868652344,Feasible
8,7,2,1,1,"ADD:6,5;REMOVE:4,4",0:-;1:-;2:-;3:-;4:4;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:-;5:-;6:5;7:-;8:-;9:-,6@5=1,5,1,1,1,0,1.0,0.9920827386445231,1.0,0.09208273864452313,0.0,0.0,0.1,0.1483449935913086,Feasible
9,8,2,1,1,"ADD:4,8;REMOVE:6,5",0:-;1:-;2:-;3:-;4:-;5:-;6:5;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:8;5:-;6:-;7:-;8:-;9:-,4@1=1;4@2=1;4@8=1,"1,2,8",3,3,3,0,1.0,0.9383950647866784,1.0,0.03839506478667843,0.0,0.0,0.1,0.16193199157714844,Feasible
10,9,3,2,1,"ADD:3,8;ADD:4,3;REMOVE:4,8",0:-;1:-;2:-;3:-;4:8;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:8;4:3;5:-;6:-;7:-;8:-;9:-,3@8=1;4@3=1,"8,3",2,2,2,0,1.0,0.907851506265555,1.0,0.107851506265555,0.0,0.0,0.2,0.14948296546936035,Feasible
11,10,4,2,2,"ADD:4,9;ADD:5,6;REMOVE:3,8;REMOVE:4,3",0:-;1:-;2:-;3:8;4:3;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:9;5:6;6:-;7:-;8:-;9:-,4@1=1;4@2=1;5@6=1,"1,2,6",3,3,3,0,1.0,0.8282428081296322,1.0,0.028242808129632115,0.0,0.0,0.2,0.1487870216369629,Feasible
12,11,3,1,2,"ADD:4,3;REMOVE:4,9;REMOVE:5,6",0:-;1:-;2:-;3:-;4:9;5:6;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:3;5:-;6:-;7:-;8:-;9:-,4@3=1,3,1,1,1,0,1.0,1.0024961768752871,1.0,0.10249617687528731,0.0,0.0,0.1,0.14773821830749512,Feasible
13,12,4,3,1,"ADD:3,8;ADD:4,0;ADD:5,8;REMOVE:4,3",0:-;1:-;2:-;3:-;4:3;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:8;4:0;5:8;6:-;7:-;8:-;9:-,3@6=1;3@8=1;4@0=1;5@8=1,"6,8,0",4,4,4,0,1.0,0.7735280774180691,1.0,0.07352807741806908,0.0,0.0,0.30000000000000004,0.1667499542236328,Feasible
14,13,5,2,3,"ADD:2,7;ADD:4,5;REMOVE:3,8;REMOVE:4,0;REMOVE:5,8",0:-;1:-;2:-;3:8;4:0;5:8;6:-;7:-;8:-;9:-,0:-;1:-;2:7;3:-;4:5;5:-;6:-;7:-;8:-;9:-,2@4=1;2@9=1;4@5=1,"4,9,5",3,3,3,0,1.0,0.8277143382299919,1.0,0.027714338229991736,0.0,0.0,0.2,0.16256308555603027,Feasible
15,14,5,3,2,"ADD:2,6;ADD:4,9;ADD:5,1;REMOVE:2,7;REMOVE:4,5",0:-;1:-;2:7;3:-;4:5;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:6;3:-;4:9;5:1;6:-;7:-;8:-;9:-,2@6=1;4@6=1;4@2=2;5@1=1,"6,2,1",5,4,4,0,1.0,0.7420511303957784,1.0,0.04205113039577856,0.0,0.0,0.30000000000000004,0.1497950553894043,Feasible
16,15,5,2,3,"ADD:2,2;ADD:4,5;REMOVE:2,6;REMOVE:4,9;REMOVE:5,1",0:-;1:-;2:6;3:-;4:9;5:1;6:-;7:-;8:-;9:-,0:-;1:-;2:2;3:-;4:5;5:-;6:-;7:-;8:-;9:-,2@0=1;2@2=1;4@5=1,"0,2,5",3,3,3,0,1.0,0.8606083221314984,1.0,0.06060832213149845,0.0,0.0,0.2,0.1450669765472412,Feasible
17,16,3,1,2,"ADD:4,3;REMOVE:2,2;REMOVE:4,5",0:-;1:-;2:2;3:-;4:5;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:3;5:-;6:-;7:-;8:-;9:-,4@2=1;4@3=1,"2,3",2,2,2,0,1.0,0.9471526961615925,1.0,0.04715269616159257,0.0,0.0,0.1,0.1385340690612793,Feasible
18,17,2,1,1,"ADD:4,4;REMOVE:4,3",0:-;1:-;2:-;3:-;4:3;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:4;5:-;6:-;7:-;8:-;9:-,4@4=1,4,1,1,1,0,1.0,0.9844194491247279,1.0,0.0844194491247279,0.0,0.0,0.1,0.1308760643005371,Feasible
19,18,2,1,1,"ADD:5,2;REMOVE:4,4",0:-;1:-;2:-;3:-;4:4;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:-;5:2;6:-;7:-;8:-;9:-,5@2=1,2,1,1,1,0,1.0,1.0037377425923668,1.0,0.10373774259236698,0.0,0.0,0.1,0.13038897514343262,Feasible
20,19,3,2,1,"ADD:4,0;ADD:6,7;REMOVE:5,2",0:-;1:-;2:-;3:-;4:-;5:2;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:0;5:-;6:7;7:-;8:-;9:-,4@0=1;6@2=1;6@7=2,"0,2,7",4,3,3,0,1.0,0.8745439070684475,1.0,0.07454390706844753,0.0,0.0,0.2,0.14833521842956543,Feasible
21,20,4,2,2,"ADD:2,9;ADD:4,4;REMOVE:4,0;REMOVE:6,7",0:-;1:-;2:-;3:-;4:0;5:-;6:7;7:-;8:-;9:-,0:-;1:-;2:9;3:-;4:4;5:-;6:-;7:-;8:-;9:-,2@9=1;4@4=1,"9,4",2,2,2,0,1.0,0.9039407142138565,1.0,0.10394071421385646,0.0,0.0,0.2,0.13688898086547852,Feasible
22,21,3,1,2,"ADD:4,2;REMOVE:2,9;REMOVE:4,4",0:-;1:-;2:9;3:-;4:4;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:2;5:-;6:-;7:-;8:-;9:-,4@0=1;4@2=1;4@4=1,"0,2,4",3,3,3,0,1.0,0.9324070163351464,1.0,0.032407016335146525,0.0,0.0,0.1,0.14811086654663086,Feasible
23,22,2,1,1,"ADD:4,7;REMOVE:4,2",0:-;1:-;2:-;3:-;4:2;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:7;5:-;6:-;7:-;8:-;9:-,4@1=1;4@2=2;4@7=1,"1,2,7",4,3,3,0,1.0,0.9248337717634642,1.0,0.024833771763464026,0.0,0.0,0.1,0.14560699462890625,Feasible
24,23,3,2,1,"ADD:5,9;ADD:6,3;REMOVE:4,7",0:-;1:-;2:-;3:-;4:7;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:-;5:9;6:3;7:-;8:-;9:-,5@9=1;6@3=1,"9,3",2,2,2,0,1.0,0.898808193720346,1.0,0.09880819372034608,0.0,0.0,0.2,0.13767194747924805,Feasible
25,24,3,2,1,"ADD:4,2;ADD:6,1;REMOVE:6,3",0:-;1:-;2:-;3:-;4:-;5:9;6:3;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:2;5:9;6:1;7:-;8:-;9:-,4@2=1;5@2=1;5@6=1;6@1=1,"2,6,1",4,4,4,0,1.0,0.35097798698714205,0.5,0.050977986987142086,0.0,0.0,0.2,0.14778590202331543,Feasible
26,25,4,1,3,"ADD:4,8;REMOVE:4,2;REMOVE:5,9;REMOVE:6,1",0:-;1:-;2:-;3:-;4:2;5:9;6:1;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:8;5:-;6:-;7:-;8:-;9:-,4@5=2;4@6=2,"5,6",4,2,2,0,1.0,0.9,1.0,0.0,0.0,0.0,0.1,0.13887739181518555,Feasible
27,26,3,2,1,"ADD:4,7;ADD:5,4;REMOVE:4,8",0:-;1:-;2:-;3:-;4:8;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:7;5:4;6:-;7:-;8:-;9:-,4@1=2;4@4=1;4@7=1;4@9=1;5@4=1,"1,4,7,9",6,5,5,0,1.0,0.8286042771393995,1.0,0.028604277139399607,0.0,0.0,0.2,0.15488314628601074,Feasible
28,27,2,1,1,"ADD:6,2;REMOVE:5,4",0:-;1:-;2:-;3:-;4:7;5:4;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:7;5:-;6:2;7:-;8:-;9:-,4@7=1;6@2=1,"7,2",2,2,2,0,1.0,0.49979582607953,0.5,0.09979582607953,0.0,0.0,0.1,0.13713502883911133,Feasible
29,28,6,4,2,"ADD:2,7;ADD:4,3;ADD:5,5;ADD:6,6;REMOVE:4,7;REMOVE:6,2",0:-;1:-;2:-;3:-;4:7;5:-;6:2;7:-;8:-;9:-,0:-;1:-;2:7;3:-;4:3;5:5;6:6;7:-;8:-;9:-,2@0=1;2@1=1;2@2=1;2@3=1;2@6=1;4@3=1;5@5=1;6@1=2;6@6=1,"0,1,2,3,6,5",10,9,9,0,1.0,0.6326280699407355,1.0,0.03262806994073555,0.0,0.0,0.4,0.17223381996154785,Feasible
30,29,6,2,4,"ADD:4,8;ADD:6,4;REMOVE:2,7;REMOVE:4,3;REMOVE:5,5;REMOVE:6,6",0:-;1:-;2:7;3:-;4:3;5:5;6:6;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:8;5:-;6:4;7:-;8:-;9:-,4@4=1;4@6=1;4@8=1;6@4=1,"4,6,8",4,4,4,0,1.0,0.8493737325859094,1.0,0.04937373258590947,0.0,0.0,0.2,0.14694714546203613,Feasible
31,30,4,2,2,"ADD:4,5;ADD:6,8;REMOVE:4,8;REMOVE:6,4",0:-;1:-;2:-;3:-;4:8;5:-;6:4;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:5;5:-;6:8;7:-;8:-;9:-,4@0=1;4@2=2;4@5=1;6@2=1;6@1=1;6@8=1,"0,2,5,1,8",7,6,6,0,1.0,0.8319911894368353,1.0,0.031991189436835134,0.0,0.0,0.2,0.14888286590576172,Feasible
32,31,5,3,2,"ADD:3,6;ADD:4,6;ADD:5,1;REMOVE:4,5;REMOVE:6,8",0:-;1:-;2:-;3:-;4:5;5:-;6:8;7:-;8:-;9:-,0:-;1:-;2:-;3:6;4:6;5:1;6:-;7:-;8:-;9:-,3@6=1;4@6=1;4@4=1;5@1=1,"6,4,1",4,4,4,0,1.0,0.7763665486558442,1.0,0.0763665486558442,0.0,0.0,0.30000000000000004,0.14264392852783203,Feasible
