Slot,Objective,R_nom,B_nom,R_wc,B_wc,Op,Adds,Removes,Time(s)
1,0.0877,0.1379,0.0498,N/A,N/A,0.1000,1,4,0.05
2,0.1538,0.1538,0.0000,N/A,N/A,0.0000,0,4,0.04
3,0.1818,0.1818,0.0000,N/A,N/A,0.0000,0,4,0.02
4,0.2222,0.2222,0.0000,N/A,N/A,0.0000,0,4,0.02
5,0.1420,0.2857,0.0563,N/A,N/A,0.2000,2,4,0.03
6,0.2909,0.3333,0.0575,N/A,N/A,0.1000,1,4,0.02
7,0.4444,0.4444,0.0000,N/A,N/A,0.0000,0,4,0.01
8,0.7921,0.8000,0.0921,N/A,N/A,0.1000,1,4,0.01
9,0.9384,1.0000,0.0384,N/A,N/A,0.1000,1,2,0.01
10,0.9079,1.0000,0.1079,N/A,N/A,0.2000,2,1,0.01
11,0.7975,1.0000,0.0975,N/A,N/A,0.3000,3,2,0.02
12,1.0025,1.0000,0.1025,N/A,N/A,0.1000,1,3,0.01
13,0.7785,1.0000,0.0785,N/A,N/A,0.3000,3,1,0.02
14,0.7915,1.0000,0.0915,N/A,N/A,0.3000,3,3,0.02
15,0.4554,0.6667,0.0888,N/A,N/A,0.3000,3,2,0.02
16,0.6865,0.7500,0.0365,N/A,N/A,0.1000,1,3,0.02
17,0.9472,1.0000,0.0472,N/A,N/A,0.1000,1,2,0.01
18,0.9844,1.0000,0.0844,N/A,N/A,0.1000,1,1,0.01
19,1.0037,1.0000,0.1037,N/A,N/A,0.1000,1,1,0.02
20,0.8745,1.0000,0.0745,N/A,N/A,0.2000,2,1,0.02
21,0.9039,1.0000,0.1039,N/A,N/A,0.2000,2,2,0.04
22,0.9324,1.0000,0.0324,N/A,N/A,0.1000,1,2,0.02
23,0.9248,1.0000,0.0248,N/A,N/A,0.1000,1,1,0.01
24,0.8988,1.0000,0.0988,N/A,N/A,0.2000,2,1,0.02
25,0.3510,0.5000,0.0510,N/A,N/A,0.2000,2,1,0.02
26,0.9130,1.0000,0.1130,N/A,N/A,0.2000,2,3,0.02
27,0.8286,1.0000,0.0286,N/A,N/A,0.2000,2,2,0.02
28,0.8542,1.0000,0.0542,N/A,N/A,0.2000,2,2,0.02
29,0.5655,1.0000,0.0655,N/A,N/A,0.5000,5,2,0.04
30,0.6496,0.8000,0.0496,N/A,N/A,0.2000,2,4,0.02
31,0.8419,1.0000,0.0419,N/A,N/A,0.2000,2,3,0.03
32,0.7764,1.0000,0.0764,N/A,N/A,0.3000,3,2,0.02
33,0.4209,0.6667,0.0542,N/A,N/A,0.3000,3,2,0.03
34,0.7654,0.7500,0.1154,N/A,N/A,0.1000,1,3,0.01
35,0.7516,1.0000,0.0516,N/A,N/A,0.3000,3,2,0.02
36,0.3243,0.6667,0.0576,N/A,N/A,0.4000,4,2,0.04
37,0.8351,1.0000,0.0351,N/A,N/A,0.2000,2,5,0.15
38,0.8694,1.0000,0.0694,N/A,N/A,0.2000,2,2,0.10
39,0.8619,1.0000,0.0619,N/A,N/A,0.2000,2,2,0.10
40,0.8315,1.0000,0.0315,N/A,N/A,0.2000,2,2,0.13
41,0.2983,0.5000,0.0983,N/A,N/A,0.3000,3,1,0.10
42,0.5814,0.7500,0.0314,N/A,N/A,0.2000,2,3,0.11
43,0.9103,1.0000,0.1103,N/A,N/A,0.2000,2,3,0.10
44,0.9833,1.0000,0.0833,N/A,N/A,0.1000,1,2,0.10
45,0.9364,1.0000,0.0364,N/A,N/A,0.1000,1,1,0.11
46,0.8166,1.0000,0.0166,N/A,N/A,0.2000,2,1,0.11
47,0.6478,1.0000,0.0478,N/A,N/A,0.4000,4,2,0.15
48,0.7500,0.7500,0.0000,N/A,N/A,0.0000,0,3,0.10
49,0.9000,1.0000,0.0000,N/A,N/A,0.1000,1,1,0.09
50,-0.0523,0.0000,0.0477,N/A,N/A,0.1000,1,0,0.10
51,0.4440,0.5000,0.0440,N/A,N/A,0.1000,1,1,0.11
52,0.1463,0.5000,0.0463,N/A,N/A,0.4000,4,1,0.04
53,0.7531,1.0000,0.0531,N/A,N/A,0.3000,3,5,0.10
54,1.0143,1.0000,0.1143,N/A,N/A,0.1000,1,3,0.09
55,0.7398,1.0000,0.0398,N/A,N/A,0.3000,3,1,0.12
56,0.4574,0.6667,0.0907,N/A,N/A,0.3000,3,2,0.11
57,0.5425,0.7500,0.0925,N/A,N/A,0.3000,3,3,0.11
58,0.6377,1.0000,0.0377,N/A,N/A,0.4000,4,4,0.12
59,0.7367,1.0000,0.0367,N/A,N/A,0.3000,3,4,0.11
60,0.7720,1.0000,0.0720,N/A,N/A,0.3000,3,3,0.10
61,0.8874,1.0000,0.0874,N/A,N/A,0.2000,2,3,0.10
62,0.9471,1.0000,0.0471,N/A,N/A,0.1000,1,2,0.10
63,0.7590,1.0000,0.0590,N/A,N/A,0.3000,3,1,0.10
64,0.1985,0.3333,0.0651,N/A,N/A,0.2000,2,1,0.10
65,0.7139,1.0000,0.0139,N/A,N/A,0.3000,3,4,0.12
66,0.7238,1.0000,0.0238,N/A,N/A,0.3000,3,3,0.13
67,0.6126,1.0000,0.0126,N/A,N/A,0.4000,4,3,0.14
68,0.7326,1.0000,0.0326,N/A,N/A,0.3000,3,4,0.12
69,0.8147,1.0000,0.0147,N/A,N/A,0.2000,2,3,0.12
70,0.5477,1.0000,0.0477,N/A,N/A,0.5000,5,2,0.12
71,0.9006,1.0000,0.1006,N/A,N/A,0.2000,2,5,0.10
72,0.6314,1.0000,0.0314,N/A,N/A,0.4000,4,2,0.13
73,1.0040,1.0000,0.1040,N/A,N/A,0.1000,1,4,0.09
74,0.9454,1.0000,0.0454,N/A,N/A,0.1000,1,1,0.10
75,0.8387,1.0000,0.0387,N/A,N/A,0.2000,2,1,0.10
76,0.5824,0.5000,0.0824,N/A,N/A,0.0000,0,1,0.09
77,0.7286,1.0000,0.0286,N/A,N/A,0.3000,3,1,0.11
78,0.7996,1.0000,0.0996,N/A,N/A,0.3000,3,3,0.10
79,0.5158,1.0000,0.0158,N/A,N/A,0.5000,5,3,0.13
80,0.5238,0.8000,0.0238,N/A,N/A,0.3000,3,4,0.12
81,0.5451,1.0000,0.0451,N/A,N/A,0.5000,5,4,0.13
82,0.6272,0.8000,0.0272,N/A,N/A,0.2000,2,4,0.12
83,0.7353,1.0000,0.0353,N/A,N/A,0.3000,3,3,0.12
84,1.0174,1.0000,0.1174,N/A,N/A,0.1000,1,3,0.09
85,0.7419,1.0000,0.0419,N/A,N/A,0.3000,3,1,0.11
