COVERAGE VIOLATION REPORT
================================================================================
Total demand pairs checked: 38186
Total violations: 0
Overall violation ratio: 0.000000

Per-slot summary:
 slot  demand_pairs  violations  violation_ratio
    1             6           0              0.0
    2             4           0              0.0
    3             2           0              0.0
    4             2           0              0.0
    5             5           0              0.0
    6             2           0              0.0
    7             1           0              0.0
    8             1           0              0.0
    9             3           0              0.0
   10             2           0              0.0
   11             3           0              0.0
   12             1           0              0.0
   13             4           0              0.0
   14             3           0              0.0
   15             4           0              0.0
   16             3           0              0.0
   17             2           0              0.0
   18             1           0              0.0
   19             1           0              0.0
   20             3           0              0.0
   21             2           0              0.0
   22             3           0              0.0
   23             3           0              0.0
   24             2           0              0.0
   25             4           0              0.0
   26             2           0              0.0
   27             5           0              0.0
   28             2           0              0.0
   29             9           0              0.0
   30             4           0              0.0
   31             6           0              0.0
   32             4           0              0.0
   33             8           0              0.0
   34             1           0              0.0
   35             4           0              0.0
   36             8           0              0.0
   37             3           0              0.0
   38             3           0              0.0
   39             3           0              0.0
   40             6           0              0.0
   41             4           0              0.0
   42             6           0              0.0
   43             2           0              0.0
   44             1           0              0.0
   45             4           0              0.0
   46             5           0              0.0
   47             6           0              0.0
   48             2           0              0.0
   49             2           0              0.0
   50             4           0              0.0
   51             4           0              0.0
   52            11           0              0.0
   53             4           0              0.0
   54             1           0              0.0
   55             8           0              0.0
   56             4           0              0.0
   57             4           0              0.0
   58             7           0              0.0
   59             5           0              0.0
   60             4           0              0.0
   61             2           0              0.0
   62             2           0              0.0
   63             4           0              0.0
   64             6           0              0.0
   65            11           0              0.0
   66             9           0              0.0
   67            14           0              0.0
   68             7           0              0.0
   69             7           0              0.0
   70             9           0              0.0
   71             2           0              0.0
   72            10           0              0.0
   73             1           0              0.0
   74             2           0              0.0
   75             3           0              0.0
   76             1           0              0.0
   77             7           0              0.0
   78             3           0              0.0
   79            12           0              0.0
   80            10           0              0.0
   81             9           0              0.0
   82            10           0              0.0
   83             7           0              0.0
   84             1           0              0.0
   85             5           0              0.0
   86             5           0              0.0
   87             5           0              0.0
   88             4           0              0.0
   89             5           0              0.0
   90             7           0              0.0
   91             9           0              0.0
   92             9           0              0.0
   93             9           0              0.0
   94             7           0              0.0
   95             5           0              0.0
   96            11           0              0.0
   97             8           0              0.0
   98             5           0              0.0
   99             6           0              0.0
  100             3           0              0.0
  101             4           0              0.0
  102             4           0              0.0
  103             4           0              0.0
  104             1           0              0.0
  105            11           0              0.0
  106            12           0              0.0
  107             8           0              0.0
  108            11           0              0.0
  109             8           0              0.0
  110             4           0              0.0
  111             7           0              0.0
  112             6           0              0.0
  113             7           0              0.0
  114             9           0              0.0
  115            12           0              0.0
  116            10           0              0.0
  117             8           0              0.0
  118             6           0              0.0
  119             7           0              0.0
  120            11           0              0.0
  121             7           0              0.0
  122             9           0              0.0
  123             5           0              0.0
  124             3           0              0.0
  125             9           0              0.0
  126             7           0              0.0
  127             4           0              0.0
  128             2           0              0.0
  129             8           0              0.0
  130             4           0              0.0
  131             3           0              0.0
  132             5           0              0.0
  133             5           0              0.0
  134             4           0              0.0
  135            10           0              0.0
  136            10           0              0.0
  137             4           0              0.0
  138             5           0              0.0
  139             5           0              0.0
  140             2           0              0.0
  141             4           0              0.0
  142             5           0              0.0
  143             3           0              0.0
  144             5           0              0.0
  145             3           0              0.0
  146             1           0              0.0
  147             5           0              0.0
  148             5           0              0.0
  149             6           0              0.0
  150             4           0              0.0
  151             8           0              0.0
  152             7           0              0.0
  153             4           0              0.0
  154            12           0              0.0
  155             9           0              0.0
  156             5           0              0.0
  157             1           0              0.0
  158             3           0              0.0
  159             2           0              0.0
  160             6           0              0.0
  161             9           0              0.0
  162             5           0              0.0
  163             2           0              0.0
  164             8           0              0.0
  165             8           0              0.0
  166             4           0              0.0
  167             4           0              0.0
  168             6           0              0.0
  169             9           0              0.0
  170             8           0              0.0
  171            11           0              0.0
  172             6           0              0.0
  173             5           0              0.0
  174             7           0              0.0
  175            12           0              0.0
  176             9           0              0.0
  177             4           0              0.0
  178             6           0              0.0
  179             6           0              0.0
  180             2           0              0.0
  181             6           0              0.0
  182             7           0              0.0
  183             6           0              0.0
  184             7           0              0.0
  185             7           0              0.0
  186             6           0              0.0
  187             1           0              0.0
  188             4           0              0.0
  189             2           0              0.0
  190             7           0              0.0
  191             7           0              0.0
  192            14           0              0.0
  193             6           0              0.0
  194             4           0              0.0
  195             8           0              0.0
  196            10           0              0.0
  197            12           0              0.0
  198             3           0              0.0
  199             8           0              0.0
  200             6           0              0.0
  201             7           0              0.0
  202             8           0              0.0
  203             7           0              0.0
  204            11           0              0.0
  205             7           0              0.0
  206             2           0              0.0
  207             5           0              0.0
  208             5           0              0.0
  209             6           0              0.0
  210            11           0              0.0
  211             7           0              0.0
  212             3           0              0.0
  213             3           0              0.0
  214             5           0              0.0
  215             6           0              0.0
  216             9           0              0.0
  217            12           0              0.0
  218             8           0              0.0
  219            10           0              0.0
  220             6           0              0.0
  221             7           0              0.0
  222             9           0              0.0
  223            12           0              0.0
  224             7           0              0.0
  225             6           0              0.0
  226             6           0              0.0
  227             6           0              0.0
  228             8           0              0.0
  229             6           0              0.0
  230            11           0              0.0
  231             5           0              0.0
  232             9           0              0.0
  233             7           0              0.0
  234             7           0              0.0
  235             1           0              0.0
  236             6           0              0.0
  237             9           0              0.0
  238             9           0              0.0
  239             7           0              0.0
  240             4           0              0.0
  241             5           0              0.0
  242             7           0              0.0
  243             6           0              0.0
  244             4           0              0.0
  245             7           0              0.0
  246             6           0              0.0
  247            10           0              0.0
  248            12           0              0.0
  249             9           0              0.0
  250             8           0              0.0
  251             5           0              0.0
  252            14           0              0.0
  253            10           0              0.0
  254            13           0              0.0
  255             9           0              0.0
  256             3           0              0.0
  257             3           0              0.0
  258             8           0              0.0
  259             9           0              0.0
  260             4           0              0.0
  261            15           0              0.0
  262             7           0              0.0
  263            10           0              0.0
  264             8           0              0.0
  265            14           0              0.0
  266            21           0              0.0
  267             9           0              0.0
  268             6           0              0.0
  269            11           0              0.0
  270            12           0              0.0
  271             9           0              0.0
  272             6           0              0.0
  273            12           0              0.0
  274            13           0              0.0
  275             7           0              0.0
  276             8           0              0.0
  277             6           0              0.0
  278             8           0              0.0
  279            15           0              0.0
  280            11           0              0.0
  281            20           0              0.0
  282            23           0              0.0
  283            12           0              0.0
  284            15           0              0.0
  285             2           0              0.0
  286            12           0              0.0
  287            21           0              0.0
  288             8           0              0.0
  289            14           0              0.0
  290            11           0              0.0
  291            11           0              0.0
  292             6           0              0.0
  293             8           0              0.0
  294             9           0              0.0
  295            13           0              0.0
  296            12           0              0.0
  297            12           0              0.0
  298             5           0              0.0
  299             7           0              0.0
  300            15           0              0.0
  301            21           0              0.0
  302            16           0              0.0
  303            12           0              0.0
  304            14           0              0.0
  305             9           0              0.0
  306             7           0              0.0
  307            14           0              0.0
  308            15           0              0.0
  309            13           0              0.0
  310            14           0              0.0
  311            11           0              0.0
  312            12           0              0.0
  313             7           0              0.0
  314            15           0              0.0
  315            14           0              0.0
  316            11           0              0.0
  317             8           0              0.0
  318             9           0              0.0
  319             4           0              0.0
  320             9           0              0.0
  321            13           0              0.0
  322             6           0              0.0
  323             9           0              0.0
  324            10           0              0.0
  325            10           0              0.0
  326             5           0              0.0
  327             4           0              0.0
  328            11           0              0.0
  329            12           0              0.0
  330             6           0              0.0
  331             8           0              0.0
  332             7           0              0.0
  333             9           0              0.0
  334             7           0              0.0
  335             9           0              0.0
  336            12           0              0.0
  337            11           0              0.0
