slot,timestamp,action_count,adds,removes,actions,placement_before,placement_after,demand,attachment_points,total_requests,demand_pairs,covered_pairs_after,uncovered_pairs_after,coverage_ratio_after,objective,R_nominal,B_nominal,R_wc,B_wc,Op_cost,solve_time,status
1,0,26,1,25,"ADD:4,5;REMOVE:0,4;REMOVE:0,8;REMOVE:1,5;REMOVE:1,7;REMOVE:2,8;REMOVE:3,5;REMOVE:3,6;REMOVE:3,8;REMOVE:4,9;REMOVE:5,0;REMOVE:5,1;REMOVE:5,8;REMOVE:6,8;REMOVE:7,0;REMOVE:7,3;REMOVE:7,4;REMOVE:7,5;REMOVE:7,6;REMOVE:8,3;REMOVE:8,4;REMOVE:8,5;REMOVE:8,8;REMOVE:9,0;REMOVE:9,7;REMOVE:9,8",0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:-;1:-;2:5|7;3:-;4:5|7;5:9;6:-;7:-;8:-;9:-,2@0=1;2@2=1;4@5=1;4@7=1;4@8=1;5@9=1,"0,2,5,7,8,9",6,6,6,0,1.0,0.6343560743986332,0.8620689655172413,0.049035443211593394,0.0,0.02736273707782669,0.1,2.7890849113464355,Optimal
2,1,7,2,5,"ADD:2,9;ADD:5,7;REMOVE:2,5;REMOVE:2,7;REMOVE:4,5;REMOVE:4,7;REMOVE:5,9",0:-;1:-;2:5|7;3:-;4:5|7;5:9;6:-;7:-;8:-;9:-,0:-;1:-;2:9;3:-;4:-;5:7;6:-;7:-;8:-;9:-,2@1=1;2@2=1;2@3=2;5@7=1,"1,2,3,7",5,4,4,0,1.0,0.613171233304358,1.0,0.0164640416304473,0.0,0.0,0.2,1.240731954574585,Optimal
3,2,4,2,2,"ADD:2,3;ADD:4,3;REMOVE:2,9;REMOVE:5,7",0:-;1:-;2:9;3:-;4:-;5:7;6:-;7:-;8:-;9:-,0:-;1:-;2:3;3:-;4:3;5:-;6:-;7:-;8:-;9:-,2@3=1;4@3=1,3,2,2,2,0,1.0,0.6738929812105696,1.0,0.092366226513212,0.0,0.0,0.2,0.3391396999359131,Optimal
4,3,4,2,2,"ADD:2,1;ADD:4,1;REMOVE:2,3;REMOVE:4,3",0:-;1:-;2:3;3:-;4:3;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:1;3:-;4:1;5:-;6:-;7:-;8:-;9:-,2@1=1;4@1=2,1,3,2,2,0,1.0,0.6847874108836549,1.0,0.10598426360456857,0.0,0.0,0.2,0.35819101333618164,Optimal
5,4,6,4,2,"ADD:2,6;ADD:2,7;ADD:5,4;ADD:6,3;REMOVE:2,1;REMOVE:4,1",0:-;1:-;2:1;3:-;4:1;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:6|7;3:-;4:-;5:4;6:3;7:-;8:-;9:-,2@4=1;2@6=1;2@7=1;5@4=1;6@3=1,"4,6,7,3",5,5,5,0,1.0,0.4698350352434536,1.0,0.07563804109003627,0.0,0.04662301185712263,0.4,3.4220900535583496,Optimal
6,5,6,2,4,"ADD:2,4;ADD:4,7;REMOVE:2,6;REMOVE:2,7;REMOVE:5,4;REMOVE:6,3",0:-;1:-;2:6|7;3:-;4:-;5:4;6:3;7:-;8:-;9:-,0:-;1:-;2:4;3:-;4:7;5:-;6:-;7:-;8:-;9:-,2@4=1;4@7=1,"4,7",2,2,2,0,1.0,0.7021678798312994,1.0,0.1155793383255939,0.0,0.04852204585412122,0.2,0.856982946395874,Optimal
7,6,3,1,2,"ADD:4,4;REMOVE:2,4;REMOVE:4,7",0:-;1:-;2:4;3:-;4:7;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:4;5:-;6:-;7:-;8:-;9:-,4@4=1,4,1,1,1,0,1.0,0.7925748406367049,1.0,0.11571855079588109,0.0,0.0,0.1,0.3887600898742676,Optimal
8,7,2,1,1,"ADD:6,5;REMOVE:4,4",0:-;1:-;2:-;3:-;4:4;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:-;5:-;6:5;7:-;8:-;9:-,6@5=1,5,1,1,1,0,1.0,0.7736661909156185,1.0,0.09208273864452313,0.0,0.0,0.1,0.369293212890625,Optimal
9,8,2,1,1,"ADD:4,7;REMOVE:6,5",0:-;1:-;2:-;3:-;4:-;5:-;6:5;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:7;5:-;6:-;7:-;8:-;9:-,4@1=1;4@2=1;4@8=1,"1,2,8",3,3,3,0,1.0,0.7000000000000001,1.0,0.0,0.0,0.0,0.1,0.726707935333252,Optimal
10,9,3,2,1,"ADD:3,8;ADD:4,3;REMOVE:4,7",0:-;1:-;2:-;3:-;4:7;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:8;4:3;5:-;6:-;7:-;8:-;9:-,3@8=1;4@3=1,"8,3",2,2,2,0,1.0,0.6940420233260998,1.0,0.107851506265555,0.0,0.03880409156827934,0.2,0.6830761432647705,Optimal
11,10,4,2,2,"ADD:4,7;ADD:5,6;REMOVE:3,8;REMOVE:4,3",0:-;1:-;2:-;3:8;4:3;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:7;5:6;6:-;7:-;8:-;9:-,4@1=1;4@2=1;5@6=1,"1,2,6",3,3,3,0,1.0,0.6225942465037058,1.0,0.028242808129632115,0.0,0.0,0.2,0.9076211452484131,Optimal
12,11,3,1,2,"ADD:4,3;REMOVE:4,7;REMOVE:5,6",0:-;1:-;2:-;3:-;4:7;5:6;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:3;5:-;6:-;7:-;8:-;9:-,4@3=1,3,1,1,1,0,1.0,0.7819969415002298,1.0,0.10249617687528731,0.0,0.0,0.1,0.3389739990234375,Optimal
13,12,5,4,1,"ADD:3,6;ADD:3,8;ADD:4,0;ADD:5,8;REMOVE:4,3",0:-;1:-;2:-;3:-;4:3;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:6|8;4:0;5:8;6:-;7:-;8:-;9:-,3@6=1;3@8=1;4@0=1;5@8=1,"6,8,0",4,4,4,0,1.0,0.49211010450400405,1.0,0.10290574460454247,0.0,0.048927544101849726,0.4,3.561471939086914,Optimal
14,13,6,2,4,"ADD:2,6;ADD:4,5;REMOVE:3,6;REMOVE:3,8;REMOVE:4,0;REMOVE:5,8",0:-;1:-;2:-;3:6|8;4:0;5:8;6:-;7:-;8:-;9:-,0:-;1:-;2:6;3:-;4:5;5:-;6:-;7:-;8:-;9:-,2@4=1;2@9=1;4@5=1,"4,9,5",3,3,3,0,1.0,0.6221714705839936,1.0,0.027714338229991736,0.0,0.0,0.2,1.318411111831665,Optimal
15,14,5,3,2,"ADD:2,9;ADD:4,9;ADD:5,1;REMOVE:2,6;REMOVE:4,5",0:-;1:-;2:6;3:-;4:5;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:9;3:-;4:9;5:1;6:-;7:-;8:-;9:-,2@6=1;4@6=1;4@2=2;5@1=1,"6,2,1",5,4,4,0,1.0,0.518179573242209,1.0,0.022724466552761332,0.0,0.0,0.30000000000000004,1.1772830486297607,Optimal
16,15,5,2,3,"ADD:2,7;ADD:4,5;REMOVE:2,9;REMOVE:4,9;REMOVE:5,1",0:-;1:-;2:9;3:-;4:9;5:1;6:-;7:-;8:-;9:-,0:-;1:-;2:7;3:-;4:5;5:-;6:-;7:-;8:-;9:-,2@0=1;2@2=1;4@5=1,"0,2,5",3,3,3,0,1.0,0.6248588301717415,1.0,0.031073537714676913,0.0,0.0,0.2,1.9694581031799316,Optimal
17,16,3,1,2,"ADD:4,7;REMOVE:2,7;REMOVE:4,5",0:-;1:-;2:7;3:-;4:5;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:7;5:-;6:-;7:-;8:-;9:-,4@2=1;4@3=1,"2,3",2,2,2,0,1.0,0.7000000000000001,1.0,0.0,0.0,0.0,0.1,1.0262830257415771,Optimal
18,17,2,1,1,"ADD:4,4;REMOVE:4,7",0:-;1:-;2:-;3:-;4:7;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:4;5:-;6:-;7:-;8:-;9:-,4@4=1,4,1,1,1,0,1.0,0.7675355592997823,1.0,0.0844194491247279,0.0,0.0,0.1,0.3706810474395752,Optimal
19,18,2,1,1,"ADD:5,2;REMOVE:4,4",0:-;1:-;2:-;3:-;4:4;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:-;5:2;6:-;7:-;8:-;9:-,5@2=1,2,1,1,1,0,1.0,0.7829901940738936,1.0,0.10373774259236698,0.0,0.0,0.1,0.33285093307495117,Optimal
