timestamp,server,dataset
0,0,0
0,1,0
1,2,0
2,3,1
3,1,0
3,4,1
3,2,0
4,5,0
4,4,2
5,2,1
5,1,1
5,2,0
6,6,0
6,5,1
6,5,1
7,2,0
7,4,1
7,4,1
7,2,1
8,4,1
9,0,0
9,2,0
10,2,1
10,0,0
10,4,0
11,1,0
11,7,1
12,5,1
12,6,0
12,8,0
13,9,2
13,4,2
13,4,1
14,4,1
14,2,2
15,5,1
15,4,0
16,9,0
16,4,0
17,0,2
17,1,1
17,1,0
18,2,1
19,6,1
19,7,1
19,0,2
20,6,0
20,4,2
20,2,2
20,4,1
21,1,2
21,9,0
22,1,2
23,1,2
23,1,0
23,1,0
24,6,2
24,1,1
25,4,0
25,9,1
25,0,1
25,4,1
25,6,2
25,2,2
25,8,2
26,8,2
26,4,0
26,4,1
27,4,2
28,4,0
28,4,1
29,9,1
30,8,1
31,8,1
32,3,2
33,4,0
33,1,1
34,7,0
34,2,2
35,6,2
36,4,1
37,1,1
38,2,0
38,7,0
39,8,1
40,5,0
41,8,0
42,2,0
43,4,1
43,1,2
43,8,2
44,1,1
45,4,2
46,8,2
46,4,2
47,8,2
48,3,2
48,2,1
49,6,2
50,6,1
50,4,2
50,2,2
51,4,1
51,1,2
51,4,2
51,4,2
52,7,2
52,2,1
53,0,1
54,2,1
54,1,2
55,0,2
56,1,2
57,7,0
57,9,2
58,6,2
59,3,1
59,3,1
59,4,2
60,2,1
60,1,1
61,7,2
62,2,1
63,4,2
64,8,2
65,0,0
66,1,2
67,4,2
67,2,2
68,2,2
69,4,2
70,8,1
70,8,2
71,0,0
71,4,2
71,9,2
72,4,1
73,2,1
74,2,1
74,4,2
75,6,2
75,2,2
76,2,2
77,3,2
78,4,0
79,1,1
80,5,1
81,1,1
82,9,2
83,2,2
84,9,2
84,6,2
84,2,0
85,4,2
86,0,1
86,8,2
86,2,2
87,0,2
87,6,2
88,1,0
89,8,0
90,2,2
90,4,2
91,2,2
91,4,0
91,4,1
92,6,2
92,5,2
93,4,1
94,1,0
95,2,0
96,7,2
96,9,1
97,2,1
98,2,1
99,4,1
99,0,2
100,3,0
100,9,2
100,9,2
101,8,1
101,0,3
102,4,0
103,7,2
103,4,2
104,9,2
105,2,1
106,6,1
107,9,2
108,8,1
109,9,1
110,4,2
111,0,1
112,2,2
113,9,0
113,2,2
114,3,1
115,7,0
116,0,0
117,4,2
118,6,2
118,6,0
119,8,2
120,0,1
121,3,1
122,2,1
123,7,2
123,2,0
123,2,1
123,0,1
124,2,2
125,4,1
126,2,0
126,5,0
127,9,1
128,5,2
129,6,2
129,7,2
130,2,2
131,4,0
132,3,2
133,9,0
133,2,0
133,4,2
133,5,2
134,7,1
135,1,2
136,1,1
137,1,1
138,2,1
139,4,2
140,5,0
141,7,1
142,5,0
143,4,2
144,4,2
145,3,1
146,8,2
146,4,0
147,9,0
148,7,0
148,2,2
148,2,2
149,3,0
150,7,1
151,4,2
152,4,2
153,4,0
154,4,0
155,0,0
155,7,2
156,2,0
157,3,1
158,9,0
159,2,2
160,9,2
160,3,1
161,4,0
162,2,2
163,1,0
163,8,2
164,8,2
164,0,2
165,1,2
166,0,1
167,9,0
168,4,1
169,6,2
170,1,2
171,6,0
171,1,1
172,5,1
173,9,2
174,3,3
174,0,1
175,9,2
175,2,2
176,1,2
177,2,0
178,4,2
179,7,2
180,7,2
180,6,0
181,5,1
181,2,0
181,3,0
182,0,2
183,3,2
183,1,0
184,1,1
184,4,2
185,2,0
186,2,2
187,2,0
188,4,1
188,0,3
188,4,2
189,2,2
190,8,1
190,4,2
191,4,2
192,6,1
193,2,2
193,8,3
194,6,2
194,2,2
195,1,2
196,1,1
197,7,2
197,4,1
198,2,2
198,3,1
198,4,1
199,6,0
199,3,2
199,2,3
199,5,0
200,4,2
200,0,0
200,3,3
201,8,0
202,6,1
202,1,2
203,2,3
203,6,2
203,5,1
203,6,1
203,8,4
204,9,2
204,6,0
204,9,1
205,2,2
206,0,2
206,2,2
206,3,1
206,1,2
206,8,2
206,8,0
206,9,2
206,2,0
207,8,1
207,2,0
208,5,0
208,9,2
209,7,2
209,4,2
209,7,0
210,0,0
211,7,1
212,4,2
213,2,2
213,7,1
213,4,2
213,0,2
214,2,2
215,3,3
215,8,2
216,4,2
217,2,2
217,9,2
218,2,2
218,2,2
218,6,2
219,2,2
220,8,2
221,3,2
221,7,3
221,4,2
222,2,2
222,3,3
223,1,2
224,8,2
224,1,2
225,1,2
225,7,2
226,1,3
226,5,3
226,8,2
226,5,0
226,6,2
226,4,2
227,5,1
228,8,2
228,6,2
228,8,2
229,8,2
229,3,2
230,1,3
230,5,1
231,4,3
231,1,1
232,1,2
232,1,0
232,2,2
232,1,1
232,0,2
232,1,1
233,4,1
233,2,2
233,5,1
233,6,1
233,0,1
233,0,3
233,4,2
234,8,2
235,3,1
236,9,3
236,1,2
236,4,2
237,7,2
237,4,2
237,4,2
238,4,3
239,0,2
240,0,2
240,7,2
240,2,2
240,4,0
241,8,2
242,2,0
242,2,1
243,2,2
243,1,2
243,0,2
244,2,2
245,7,1
245,3,0
246,4,4
246,5,3
246,4,2
246,8,2
247,6,1
247,2,1
247,3,0
248,7,0
249,2,1
249,7,3
249,1,4
250,3,2
250,9,0
251,2,0
252,2,0
252,1,0
252,6,2
252,2,2
252,5,2
252,0,0
253,0,0
253,4,0
253,3,1
254,0,1
254,4,1
254,4,1
254,3,0
254,1,0
254,0,0
255,2,0
256,2,0
256,4,0
256,4,0
256,4,2
256,9,2
256,8,1
257,0,1
257,2,1
257,5,0
257,6,1
258,9,1
258,0,1
258,9,1
259,2,1
259,3,1
259,6,0
260,7,2
260,3,2
260,6,0
260,4,1
260,4,2
261,1,1
261,2,2
261,6,2
261,7,1
261,8,1
262,1,0
263,7,1
263,7,1
263,1,1
264,2,0
264,0,1
265,0,0
266,4,1
266,5,1
266,1,2
266,4,1
266,1,1
266,2,0
266,4,2
267,0,0
268,7,0
268,8,1
269,8,0
269,3,2
269,3,2
270,1,2
270,3,1
271,2,1
272,1,2
272,1,1
272,5,0
273,9,2
273,8,1
274,8,1
274,9,1
274,3,1
274,5,4
275,6,1
276,5,1
276,9,1
276,8,2
277,4,1
277,8,1
277,2,1
277,5,3
278,2,1
278,1,1
278,5,1
278,8,1
278,6,2
279,8,0
279,4,0
279,0,0
279,4,0
280,5,0
280,4,2
281,6,1
281,2,1
282,9,2
282,4,1
282,5,1
283,9,1
283,0,1
284,3,2
284,8,1
284,2,1
284,3,1
285,4,1
285,4,2
285,1,1
286,9,2
287,7,1
287,9,2
287,8,0
288,1,0
289,7,0
289,6,2
289,4,2
290,3,2
290,9,2
290,2,1
290,4,0
290,2,2
291,2,1
292,7,0
293,2,1
294,2,3
295,3,0
295,9,0
296,4,0
297,7,0
297,6,0
297,4,2
298,7,1
299,5,1
299,7,2
299,6,2
300,6,1
300,1,1
301,4,0
301,3,2
302,5,3
302,3,1
303,0,1
303,9,2
304,1,0
304,3,1
304,4,0
305,1,4
305,6,2
305,4,2
305,5,4
306,7,1
306,2,1
307,0,4
308,9,4
308,2,2
309,4,4
310,8,3
310,8,1
311,8,0
311,4,2
311,1,4
311,9,4
312,4,4
312,4,4
313,2,2
314,4,4
314,2,1
315,9,2
315,3,2
316,7,4
317,4,4
317,6,3
317,2,2
318,4,2
318,4,4
318,1,4
319,2,2
320,4,1
320,2,4
320,7,1
321,4,0
321,4,4
