Slot,Action,Dataset,Server
1,ADD,4,5
1,ADD,8,7
2,ADD,4,2
2,ADD,9,2
3,ADD,9,5
4,ADD,8,0
5,ADD,6,3
5,ADD,7,2
6,ADD,3,2
6,REMOVE,9,7
7,ADD,1,9
7,ADD,2,0
8,ADD,1,0
8,REMOVE,8,3
9,ADD,6,6
9,REMOVE,4,7
9,REMOVE,5,9
10,ADD,4,6
10,REMOVE,9,5
11,ADD,1,8
11,ADD,4,0
11,REMOVE,6,3
12,ADD,8,1
13,ADD,7,9
13,REMOVE,1,0
13,REMOVE,9,0
14,ADD,0,2
14,ADD,2,4
14,ADD,9,1
14,REMOVE,5,1
15,ADD,3,0
15,ADD,5,5
15,ADD,5,9
15,ADD,6,7
15,REMOVE,1,8
16,ADD,5,3
17,ADD,6,5
18,ADD,5,7
18,ADD,9,5
18,REMOVE,1,9
18,REMOVE,7,9
19,ADD,3,4
19,REMOVE,0,4
20,ADD,1,1
21,ADD,7,9
22,ADD,1,2
22,REMOVE,7,9
22,REMOVE,8,5
23,ADD,6,3
23,REMOVE,2,0
23,REMOVE,5,7
23,REMOVE,8,7
24,ADD,0,9
25,ADD,7,9
25,REMOVE,6,3
25,REMOVE,8,1
26,ADD,7,1
27,ADD,2,2
27,REMOVE,0,2
27,REMOVE,1,5
27,REMOVE,6,5
27,REMOVE,8,8
28,ADD,9,4
29,ADD,1,0
29,REMOVE,2,5
29,REMOVE,4,5
29,REMOVE,6,6
30,ADD,8,2
30,REMOVE,1,2
30,REMOVE,6,7
31,ADD,2,5
31,REMOVE,2,2
31,REMOVE,3,6
31,REMOVE,5,3
32,ADD,1,2
32,ADD,2,6
32,ADD,2,9
32,ADD,7,7
32,REMOVE,0,8
32,REMOVE,4,6
32,REMOVE,5,9
32,REMOVE,7,6
32,REMOVE,9,1
33,ADD,6,2
33,ADD,8,8
33,REMOVE,4,0
33,REMOVE,8,2
34,ADD,8,2
34,REMOVE,1,0
34,REMOVE,7,2
34,REMOVE,7,3
34,REMOVE,7,7
35,ADD,0,7
35,REMOVE,3,5
36,ADD,5,2
36,ADD,7,7
36,REMOVE,2,6
37,ADD,1,8
37,ADD,9,0
38,ADD,6,7
39,ADD,9,9
40,ADD,8,5
41,ADD,3,9
42,ADD,1,9
43,ADD,4,3
43,REMOVE,7,4
43,REMOVE,7,7
44,ADD,5,4
44,REMOVE,4,2
44,REMOVE,8,5
45,ADD,4,4
45,ADD,7,3
