Slot,Objective,R_nom,B_nom,R_wc,B_wc,Op,Adds,Removes,Time(s)
1,-0.1510,0.0000,0.0490,N/A,N/A,0.2000,2,0,0.00
2,-0.2000,0.0000,0.0000,N/A,N/A,0.2000,2,0,0.00
3,-0.1000,0.0000,0.0000,N/A,N/A,0.1000,1,0,0.00
4,-0.1000,0.0000,0.0000,N/A,N/A,0.1000,1,0,0.00
5,-0.1616,0.0000,0.0384,N/A,N/A,0.2000,2,0,0.00
6,-0.0154,0.0270,0.0575,N/A,N/A,0.1000,1,1,0.00
7,-0.2000,0.0000,0.0000,N/A,N/A,0.2000,2,0,0.00
8,-0.0744,0.0256,0.0000,N/A,N/A,0.1000,1,1,0.00
9,-0.0168,0.0513,0.0319,N/A,N/A,0.1000,1,2,0.00
10,-0.0224,0.0263,0.0513,N/A,N/A,0.1000,1,1,0.00
11,-0.1369,0.0263,0.0367,N/A,N/A,0.2000,2,1,0.00
12,-0.1000,0.0000,0.0000,N/A,N/A,0.1000,1,0,0.00
13,0.0529,0.0500,0.1029,N/A,N/A,0.1000,1,2,0.00
14,-0.2178,0.0256,0.0565,N/A,N/A,0.3000,3,1,0.00
15,-0.3096,0.0244,0.0660,N/A,N/A,0.4000,4,1,0.01
16,-0.0324,0.0000,0.0676,N/A,N/A,0.1000,1,0,0.00
17,-0.0409,0.0000,0.0591,N/A,N/A,0.1000,1,0,0.00
18,-0.1565,0.0435,0.0000,N/A,N/A,0.2000,2,2,0.01
19,-0.0783,0.0217,0.0000,N/A,N/A,0.1000,1,1,0.00
20,-0.0255,0.0000,0.0745,N/A,N/A,0.1000,1,0,0.00
21,-0.1000,0.0000,0.0000,N/A,N/A,0.1000,1,0,0.00
22,0.0035,0.0417,0.0619,N/A,N/A,0.1000,1,2,0.00
23,0.0162,0.0638,0.0524,N/A,N/A,0.1000,1,3,0.00
24,-0.0012,0.0000,0.0988,N/A,N/A,0.1000,1,0,0.00
25,-0.0307,0.0435,0.0258,N/A,N/A,0.1000,1,2,0.00
26,0.0130,0.0000,0.1130,N/A,N/A,0.1000,1,0,0.00
27,0.0052,0.0870,0.0182,N/A,N/A,0.1000,1,4,0.01
28,-0.1000,0.0000,0.0000,N/A,N/A,0.1000,1,0,0.00
29,-0.0120,0.0682,0.0198,N/A,N/A,0.1000,1,3,0.01
30,-0.0307,0.0476,0.0217,N/A,N/A,0.1000,1,2,0.00
31,0.0281,0.0732,0.0549,N/A,N/A,0.1000,1,3,0.00
32,-0.2718,0.1282,0.0000,N/A,N/A,0.4000,4,5,0.01
33,-0.1362,0.0526,0.0111,N/A,N/A,0.2000,2,2,0.00
34,0.0053,0.1053,0.0000,N/A,N/A,0.1000,1,4,0.00
35,-0.0714,0.0286,0.0000,N/A,N/A,0.1000,1,1,0.00
36,-0.1427,0.0286,0.0288,N/A,N/A,0.2000,2,1,0.00
37,-0.2000,0.0000,0.0000,N/A,N/A,0.2000,2,0,0.00
38,-0.1000,0.0000,0.0000,N/A,N/A,0.1000,1,0,0.00
39,-0.1000,0.0000,0.0000,N/A,N/A,0.1000,1,0,0.00
40,-0.0700,0.0000,0.0300,N/A,N/A,0.1000,1,0,0.00
41,-0.1000,0.0000,0.0000,N/A,N/A,0.1000,1,0,0.00
42,-0.0665,0.0000,0.0335,N/A,N/A,0.1000,1,0,0.00
43,-0.0535,0.0465,0.0000,N/A,N/A,0.1000,1,2,0.00
44,-0.0524,0.0476,0.0000,N/A,N/A,0.1000,1,2,0.00
45,-0.1569,0.0244,0.0187,N/A,N/A,0.2000,2,1,0.00
46,-0.0897,0.0238,0.0865,N/A,N/A,0.2000,2,1,0.00
47,-0.0859,0.0000,0.0141,N/A,N/A,0.1000,1,0,0.00
48,-0.0372,0.0227,0.0401,N/A,N/A,0.1000,1,1,0.00
49,0.0634,0.0682,0.0952,N/A,N/A,0.1000,1,3,0.00
