slot,timestamp,action_count,adds,removes,actions,placement_before,placement_after,demand,attachment_points,total_requests,demand_pairs,covered_pairs_after,uncovered_pairs_after,coverage_ratio_after,objective,R_nominal,B_nominal,R_wc,B_wc,Op_cost,solve_time,status
1,0,2,2,0,"ADD:4,5;ADD:8,7",0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|8;9:0|7|8,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:5|7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|7|8;9:0|7|8,2@0=1;2@2=1;4@5=1;4@7=1;4@8=1;5@9=1,"0,2,5,7,8,9",6,6,6,0,1.0,-0.15096455678840662,0.0,0.049035443211593394,0.0,0.0,0.2,0.0017452239990234375,Feasible
2,1,2,2,0,"ADD:4,2;ADD:9,2",0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:5|7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|7|8;9:0|7|8,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:2|5|7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|7|8;9:0|2|7|8,2@1=1;2@2=1;2@3=2;5@7=1,"1,2,3,7",5,4,4,0,1.0,-0.2,0.0,0.0,0.0,0.0,0.2,0.0022890567779541016,Feasible
3,2,1,1,0,"ADD:9,5",0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:2|5|7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|7|8;9:0|2|7|8,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:2|5|7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|7|8;9:0|2|5|7|8,2@3=1;4@3=1,3,2,2,2,0,1.0,-0.1,0.0,0.0,0.0,0.0,0.1,0.0009961128234863281,Feasible
4,3,1,1,0,"ADD:8,0",0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:2|5|7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:3|4|5|7|8;9:0|2|5|7|8,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:2|5|7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:0|3|4|5|7|8;9:0|2|5|7|8,2@1=1;4@1=2,1,3,2,2,0,1.0,-0.1,0.0,0.0,0.0,0.0,0.1,0.0009362697601318359,Feasible
5,4,2,2,0,"ADD:6,3;ADD:7,2",0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:2|5|7|9;5:0|1|8|9;6:8;7:0|3|4|5|6;8:0|3|4|5|7|8;9:0|2|5|7|8,0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:2|5|7|9;5:0|1|8|9;6:3|8;7:0|2|3|4|5|6;8:0|3|4|5|7|8;9:0|2|5|7|8,2@4=1;2@6=1;2@7=1;5@4=1;6@3=1,"4,6,7,3",5,5,5,0,1.0,-0.16160908965939821,0.0,0.038390910340601804,0.0,0.0,0.2,0.00115203857421875,Feasible
6,5,2,1,1,"ADD:3,2;REMOVE:9,7",0:4|8;1:5|7;2:5|7|8;3:5|6|8;4:2|5|7|9;5:0|1|8|9;6:3|8;7:0|2|3|4|5|6;8:0|3|4|5|7|8;9:0|2|5|7|8,0:4|8;1:5|7;2:5|7|8;3:2|5|6|8;4:2|5|7|9;5:0|1|8|9;6:3|8;7:0|2|3|4|5|6;8:0|3|4|5|7|8;9:0|2|5|8,2@4=1;4@7=1,"4,7",2,2,2,0,1.0,-0.01543618911441201,0.02702702702702703,0.057536783858560966,0.0,0.0,0.1,0.001767873764038086,Feasible
7,6,2,2,0,"ADD:1,9;ADD:2,0",0:4|8;1:5|7;2:5|7|8;3:2|5|6|8;4:2|5|7|9;5:0|1|8|9;6:3|8;7:0|2|3|4|5|6;8:0|3|4|5|7|8;9:0|2|5|8,0:4|8;1:5|7|9;2:0|5|7|8;3:2|5|6|8;4:2|5|7|9;5:0|1|8|9;6:3|8;7:0|2|3|4|5|6;8:0|3|4|5|7|8;9:0|2|5|8,4@4=1,4,1,1,1,0,1.0,-0.2,0.0,0.0,0.0,0.0,0.2,0.0016832351684570312,Feasible
8,7,2,1,1,"ADD:1,0;REMOVE:8,3",0:4|8;1:5|7|9;2:0|5|7|8;3:2|5|6|8;4:2|5|7|9;5:0|1|8|9;6:3|8;7:0|2|3|4|5|6;8:0|3|4|5|7|8;9:0|2|5|8,0:4|8;1:0|5|7|9;2:0|5|7|8;3:2|5|6|8;4:2|5|7|9;5:0|1|8|9;6:3|8;7:0|2|3|4|5|6;8:0|4|5|7|8;9:0|2|5|8,6@5=1,5,1,1,1,0,1.0,-0.07435897435897437,0.02564102564102564,0.0,0.0,0.0,0.1,0.0019888877868652344,Feasible
9,8,3,1,2,"ADD:6,6;REMOVE:4,7;REMOVE:5,9",0:4|8;1:0|5|7|9;2:0|5|7|8;3:2|5|6|8;4:2|5|7|9;5:0|1|8|9;6:3|8;7:0|2|3|4|5|6;8:0|4|5|7|8;9:0|2|5|8,0:4|8;1:0|5|7|9;2:0|5|7|8;3:2|5|6|8;4:2|5|9;5:0|1|8;6:3|6|8;7:0|2|3|4|5|6;8:0|4|5|7|8;9:0|2|5|8,4@1=1;4@2=1;4@8=1,"1,2,8",3,3,3,0,1.0,-0.01682916914342332,0.05128205128205128,0.031888779574525405,0.0,0.0,0.1,0.0030531883239746094,Feasible
10,9,2,1,1,"ADD:4,6;REMOVE:9,5",0:4|8;1:0|5|7|9;2:0|5|7|8;3:2|5|6|8;4:2|5|9;5:0|1|8;6:3|6|8;7:0|2|3|4|5|6;8:0|4|5|7|8;9:0|2|5|8,0:4|8;1:0|5|7|9;2:0|5|7|8;3:2|5|6|8;4:2|5|6|9;5:0|1|8;6:3|6|8;7:0|2|3|4|5|6;8:0|4|5|7|8;9:0|2|8,3@8=1;4@3=1,"8,3",2,2,2,0,1.0,-0.02241587806968763,0.02631578947368421,0.051268332456628166,0.0,0.0,0.1,0.001789093017578125,Feasible
