slot,dataset,attachment_point,requests,hop_budget,min_hop,reason
1,2,0,1,1,inf,uncovered_within_hop_budget
1,2,2,1,1,inf,uncovered_within_hop_budget
1,4,5,1,1,inf,uncovered_within_hop_budget
1,4,7,1,1,inf,uncovered_within_hop_budget
1,4,8,1,1,inf,uncovered_within_hop_budget
1,5,9,1,1,inf,uncovered_within_hop_budget
2,2,1,1,1,inf,uncovered_within_hop_budget
2,2,2,1,1,inf,uncovered_within_hop_budget
2,2,3,2,1,inf,uncovered_within_hop_budget
2,5,7,1,1,inf,uncovered_within_hop_budget
3,2,3,1,1,inf,uncovered_within_hop_budget
3,4,3,1,1,inf,uncovered_within_hop_budget
4,2,1,1,1,inf,uncovered_within_hop_budget
4,4,1,2,1,inf,uncovered_within_hop_budget
5,2,4,1,1,inf,uncovered_within_hop_budget
5,2,6,1,1,inf,uncovered_within_hop_budget
5,2,7,1,1,inf,uncovered_within_hop_budget
5,5,4,1,1,inf,uncovered_within_hop_budget
5,6,3,1,1,inf,uncovered_within_hop_budget
6,2,4,1,1,inf,uncovered_within_hop_budget
6,4,7,1,1,inf,uncovered_within_hop_budget
7,4,4,1,1,inf,uncovered_within_hop_budget
8,6,5,1,1,inf,uncovered_within_hop_budget
9,4,1,1,1,inf,uncovered_within_hop_budget
9,4,2,1,1,inf,uncovered_within_hop_budget
9,4,8,1,1,inf,uncovered_within_hop_budget
10,3,8,1,1,inf,uncovered_within_hop_budget
10,4,3,1,1,inf,uncovered_within_hop_budget
11,4,1,1,1,inf,uncovered_within_hop_budget
11,4,2,1,1,inf,uncovered_within_hop_budget
11,5,6,1,1,inf,uncovered_within_hop_budget
12,4,3,1,1,inf,uncovered_within_hop_budget
13,3,6,1,1,inf,uncovered_within_hop_budget
13,3,8,1,1,inf,uncovered_within_hop_budget
13,4,0,1,1,inf,uncovered_within_hop_budget
13,5,8,1,1,inf,uncovered_within_hop_budget
14,2,4,1,1,inf,uncovered_within_hop_budget
14,2,9,1,1,inf,uncovered_within_hop_budget
14,4,5,1,1,inf,uncovered_within_hop_budget
15,2,6,1,1,inf,uncovered_within_hop_budget
15,4,6,1,1,inf,uncovered_within_hop_budget
15,4,2,2,1,inf,uncovered_within_hop_budget
15,5,1,1,1,inf,uncovered_within_hop_budget
16,2,0,1,1,inf,uncovered_within_hop_budget
16,2,2,1,1,inf,uncovered_within_hop_budget
16,4,5,1,1,inf,uncovered_within_hop_budget
17,4,2,1,1,inf,uncovered_within_hop_budget
17,4,3,1,1,inf,uncovered_within_hop_budget
18,4,4,1,1,inf,uncovered_within_hop_budget
19,5,2,1,1,inf,uncovered_within_hop_budget
20,4,0,1,1,inf,uncovered_within_hop_budget
20,6,2,1,1,inf,uncovered_within_hop_budget
20,6,7,2,1,inf,uncovered_within_hop_budget
21,2,9,1,1,inf,uncovered_within_hop_budget
21,4,4,1,1,inf,uncovered_within_hop_budget
22,4,0,1,1,inf,uncovered_within_hop_budget
22,4,2,1,1,inf,uncovered_within_hop_budget
22,4,4,1,1,inf,uncovered_within_hop_budget
23,4,1,1,1,inf,uncovered_within_hop_budget
23,4,2,2,1,inf,uncovered_within_hop_budget
23,4,7,1,1,inf,uncovered_within_hop_budget
24,5,9,1,1,inf,uncovered_within_hop_budget
24,6,3,1,1,inf,uncovered_within_hop_budget
25,4,2,1,1,inf,uncovered_within_hop_budget
25,5,2,1,1,inf,uncovered_within_hop_budget
25,5,6,1,1,inf,uncovered_within_hop_budget
25,6,1,1,1,inf,uncovered_within_hop_budget
26,4,5,2,1,inf,uncovered_within_hop_budget
26,4,6,2,1,inf,uncovered_within_hop_budget
27,4,1,2,1,inf,uncovered_within_hop_budget
27,4,4,1,1,inf,uncovered_within_hop_budget
27,4,7,1,1,inf,uncovered_within_hop_budget
27,4,9,1,1,inf,uncovered_within_hop_budget
27,5,4,1,1,inf,uncovered_within_hop_budget
28,4,7,1,1,inf,uncovered_within_hop_budget
28,6,2,1,1,inf,uncovered_within_hop_budget
29,2,0,1,1,inf,uncovered_within_hop_budget
29,2,1,1,1,inf,uncovered_within_hop_budget
29,2,2,1,1,inf,uncovered_within_hop_budget
29,2,3,1,1,inf,uncovered_within_hop_budget
29,2,6,1,1,inf,uncovered_within_hop_budget
29,4,3,1,1,inf,uncovered_within_hop_budget
29,5,5,1,1,inf,uncovered_within_hop_budget
29,6,1,2,1,inf,uncovered_within_hop_budget
29,6,6,1,1,inf,uncovered_within_hop_budget
30,4,4,1,1,inf,uncovered_within_hop_budget
30,4,6,1,1,inf,uncovered_within_hop_budget
30,4,8,1,1,inf,uncovered_within_hop_budget
30,6,4,1,1,inf,uncovered_within_hop_budget
31,4,0,1,1,inf,uncovered_within_hop_budget
31,4,2,2,1,inf,uncovered_within_hop_budget
31,4,5,1,1,inf,uncovered_within_hop_budget
31,6,2,1,1,inf,uncovered_within_hop_budget
31,6,1,1,1,inf,uncovered_within_hop_budget
31,6,8,1,1,inf,uncovered_within_hop_budget
32,3,6,1,1,inf,uncovered_within_hop_budget
32,4,6,1,1,inf,uncovered_within_hop_budget
32,4,4,1,1,inf,uncovered_within_hop_budget
