COVERAGE VIOLATION REPORT
================================================================================
Total demand pairs checked: 38186
Total violations: 38186
Overall violation ratio: 1.000000

Per-slot summary:
 slot  demand_pairs  violations  violation_ratio
    1             6           6              1.0
    2             4           4              1.0
    3             2           2              1.0
    4             2           2              1.0
    5             5           5              1.0
    6             2           2              1.0
    7             1           1              1.0
    8             1           1              1.0
    9             3           3              1.0
   10             2           2              1.0
   11             3           3              1.0
   12             1           1              1.0
   13             4           4              1.0
   14             3           3              1.0
   15             4           4              1.0
   16             3           3              1.0
   17             2           2              1.0
   18             1           1              1.0
   19             1           1              1.0
   20             3           3              1.0
   21             2           2              1.0
   22             3           3              1.0
   23             3           3              1.0
   24             2           2              1.0
   25             4           4              1.0
   26             2           2              1.0
   27             5           5              1.0
   28             2           2              1.0
   29             9           9              1.0
   30             4           4              1.0
   31             6           6              1.0
   32             4           4              1.0
   33             8           8              1.0
   34             1           1              1.0
   35             4           4              1.0
   36             8           8              1.0
   37             3           3              1.0
   38             3           3              1.0
   39             3           3              1.0
   40             6           6              1.0
   41             4           4              1.0
   42             6           6              1.0
   43             2           2              1.0
   44             1           1              1.0
   45             4           4              1.0
   46             5           5              1.0
   47             6           6              1.0
   48             2           2              1.0
   49             2           2              1.0
   50             4           4              1.0
   51             4           4              1.0
   52            11          11              1.0
   53             4           4              1.0
   54             1           1              1.0
   55             8           8              1.0
   56             4           4              1.0
   57             4           4              1.0
   58             7           7              1.0
   59             5           5              1.0
   60             4           4              1.0
   61             2           2              1.0
   62             2           2              1.0
   63             4           4              1.0
   64             6           6              1.0
   65            11          11              1.0
   66             9           9              1.0
   67            14          14              1.0
   68             7           7              1.0
   69             7           7              1.0
   70             9           9              1.0
   71             2           2              1.0
   72            10          10              1.0
   73             1           1              1.0
   74             2           2              1.0
   75             3           3              1.0
   76             1           1              1.0
   77             7           7              1.0
   78             3           3              1.0
   79            12          12              1.0
   80            10          10              1.0
   81             9           9              1.0
   82            10          10              1.0
   83             7           7              1.0
   84             1           1              1.0
   85             5           5              1.0
   86             5           5              1.0
   87             5           5              1.0
   88             4           4              1.0
   89             5           5              1.0
   90             7           7              1.0
   91             9           9              1.0
   92             9           9              1.0
   93             9           9              1.0
   94             7           7              1.0
   95             5           5              1.0
   96            11          11              1.0
   97             8           8              1.0
   98             5           5              1.0
   99             6           6              1.0
  100             3           3              1.0
  101             4           4              1.0
  102             4           4              1.0
  103             4           4              1.0
  104             1           1              1.0
  105            11          11              1.0
  106            12          12              1.0
  107             8           8              1.0
  108            11          11              1.0
  109             8           8              1.0
  110             4           4              1.0
  111             7           7              1.0
  112             6           6              1.0
  113             7           7              1.0
  114             9           9              1.0
  115            12          12              1.0
  116            10          10              1.0
  117             8           8              1.0
  118             6           6              1.0
  119             7           7              1.0
  120            11          11              1.0
  121             7           7              1.0
  122             9           9              1.0
  123             5           5              1.0
  124             3           3              1.0
  125             9           9              1.0
  126             7           7              1.0
  127             4           4              1.0
  128             2           2              1.0
  129             8           8              1.0
  130             4           4              1.0
  131             3           3              1.0
  132             5           5              1.0
  133             5           5              1.0
  134             4           4              1.0
  135            10          10              1.0
  136            10          10              1.0
  137             4           4              1.0
  138             5           5              1.0
  139             5           5              1.0
  140             2           2              1.0
  141             4           4              1.0
  142             5           5              1.0
  143             3           3              1.0
  144             5           5              1.0
  145             3           3              1.0
  146             1           1              1.0
  147             5           5              1.0
  148             5           5              1.0
  149             6           6              1.0
  150             4           4              1.0
  151             8           8              1.0
  152             7           7              1.0
  153             4           4              1.0
  154            12          12              1.0
  155             9           9              1.0
  156             5           5              1.0
  157             1           1              1.0
  158             3           3              1.0
  159             2           2              1.0
  160             6           6              1.0
  161             9           9              1.0
  162             5           5              1.0
  163             2           2              1.0
  164             8           8              1.0
  165             8           8              1.0
  166             4           4              1.0
  167             4           4              1.0
  168             6           6              1.0
  169             9           9              1.0
  170             8           8              1.0
  171            11          11              1.0
  172             6           6              1.0
  173             5           5              1.0
  174             7           7              1.0
  175            12          12              1.0
  176             9           9              1.0
  177             4           4              1.0
  178             6           6              1.0
  179             6           6              1.0
  180             2           2              1.0
  181             6           6              1.0
  182             7           7              1.0
  183             6           6              1.0
  184             7           7              1.0
  185             7           7              1.0
  186             6           6              1.0
  187             1           1              1.0
  188             4           4              1.0
  189             2           2              1.0
  190             7           7              1.0
  191             7           7              1.0
  192            14          14              1.0
  193             6           6              1.0
  194             4           4              1.0
  195             8           8              1.0
  196            10          10              1.0
  197            12          12              1.0
  198             3           3              1.0
  199             8           8              1.0
  200             6           6              1.0
  201             7           7              1.0
  202             8           8              1.0
  203             7           7              1.0
  204            11          11              1.0
  205             7           7              1.0
  206             2           2              1.0
  207             5           5              1.0
  208             5           5              1.0
  209             6           6              1.0
  210            11          11              1.0
  211             7           7              1.0
  212             3           3              1.0
  213             3           3              1.0
  214             5           5              1.0
  215             6           6              1.0
  216             9           9              1.0
  217            12          12              1.0
  218             8           8              1.0
  219            10          10              1.0
  220             6           6              1.0
  221             7           7              1.0
  222             9           9              1.0
  223            12          12              1.0
  224             7           7              1.0
  225             6           6              1.0
  226             6           6              1.0
  227             6           6              1.0
  228             8           8              1.0
  229             6           6              1.0
  230            11          11              1.0
  231             5           5              1.0
  232             9           9              1.0
  233             7           7              1.0
  234             7           7              1.0
  235             1           1              1.0
  236             6           6              1.0
  237             9           9              1.0
  238             9           9              1.0
  239             7           7              1.0
  240             4           4              1.0
  241             5           5              1.0
  242             7           7              1.0
  243             6           6              1.0
  244             4           4              1.0
  245             7           7              1.0
  246             6           6              1.0
  247            10          10              1.0
  248            12          12              1.0
  249             9           9              1.0
  250             8           8              1.0
  251             5           5              1.0
  252            14          14              1.0
  253            10          10              1.0
  254            13          13              1.0
  255             9           9              1.0
  256             3           3              1.0
  257             3           3              1.0
  258             8           8              1.0
  259             9           9              1.0
  260             4           4              1.0
  261            15          15              1.0
  262             7           7              1.0
  263            10          10              1.0
  264             8           8              1.0
  265            14          14              1.0
  266            21          21              1.0
  267             9           9              1.0
  268             6           6              1.0
  269            11          11              1.0
  270            12          12              1.0
  271             9           9              1.0
  272             6           6              1.0
  273            12          12              1.0
  274            13          13              1.0
  275             7           7              1.0
  276             8           8              1.0
  277             6           6              1.0
  278             8           8              1.0
  279            15          15              1.0
  280            11          11              1.0
  281            20          20              1.0
  282            23          23              1.0
  283            12          12              1.0
  284            15          15              1.0
  285             2           2              1.0
  286            12          12              1.0
  287            21          21              1.0
  288             8           8              1.0
  289            14          14              1.0
  290            11          11              1.0
  291            11          11              1.0
  292             6           6              1.0
  293             8           8              1.0
  294             9           9              1.0
  295            13          13              1.0
  296            12          12              1.0
  297            12          12              1.0
  298             5           5              1.0
  299             7           7              1.0
  300            15          15              1.0
  301            21          21              1.0
  302            16          16              1.0
  303            12          12              1.0
  304            14          14              1.0
  305             9           9              1.0
  306             7           7              1.0
  307            14          14              1.0
  308            15          15              1.0
  309            13          13              1.0
  310            14          14              1.0
  311            11          11              1.0
  312            12          12              1.0
  313             7           7              1.0
  314            15          15              1.0
  315            14          14              1.0
  316            11          11              1.0
  317             8           8              1.0
  318             9           9              1.0
  319             4           4              1.0
  320             9           9              1.0
  321            13          13              1.0
  322             6           6              1.0
  323             9           9              1.0
  324            10          10              1.0
  325            10          10              1.0
  326             5           5              1.0
  327             4           4              1.0
  328            11          11              1.0
  329            12          12              1.0
  330             6           6              1.0
  331             8           8              1.0
  332             7           7              1.0
  333             9           9              1.0
  334             7           7              1.0
  335             9           9              1.0
  336            12          12              1.0
  337            11          11              1.0
  338             5           5              1.0
  339            10          10              1.0
  340             5           5              1.0
  341             7           7              1.0
  342             8           8              1.0
  343            13          13              1.0
  344             8           8              1.0
  345            12          12              1.0
  346            11          11              1.0
  347             7           7              1.0
  348             9           9              1.0
  349            18          18              1.0
  350            10          10              1.0
  351             6           6              1.0
  352             1           1              1.0
  353             2           2              1.0
  354            12          12              1.0
  355             4           4              1.0
  356            10          10              1.0
  357             5           5              1.0
  358            12          12              1.0
  359             4           4              1.0
  360             5           5              1.0
  361             5           5              1.0
  362             7           7              1.0
  363             8           8              1.0
  364             3           3              1.0
  365             3           3              1.0
  366             2           2              1.0
  367             6           6              1.0
  368             6           6              1.0
  369             5           5              1.0
  370             4           4              1.0
  371             5           5              1.0
  372             4           4              1.0
  373             8           8              1.0
  374             8           8              1.0
  375             3           3              1.0
  376            10          10              1.0
  377             4           4              1.0
  378             8           8              1.0
  379             7           7              1.0
  380             9           9              1.0
  381             4           4              1.0
  382             8           8              1.0
  383            14          14              1.0
  384             4           4              1.0
  385             7           7              1.0
  386             5           5              1.0
  387            14          14              1.0
  388            10          10              1.0
  389             5           5              1.0
  390             7           7              1.0
  391            12          12              1.0
  392             3           3              1.0
  393             4           4              1.0
  394            13          13              1.0
  395             8           8              1.0
  396            12          12              1.0
  397             7           7              1.0
  398             8           8              1.0
  399             6           6              1.0
  400             6           6              1.0
  401             6           6              1.0
  402            14          14              1.0
  403            13          13              1.0
  404             8           8              1.0
  405             7           7              1.0
  406             5           5              1.0
  407            13          13              1.0
  408            24          24              1.0
  409            33          33              1.0
  410            34          34              1.0
  411            23          23              1.0
  412             8           8              1.0
  413             5           5              1.0
  414            10          10              1.0
  415            13          13              1.0
  416             9           9              1.0
  417            14          14              1.0
  418             1           1              1.0
  419            26          26              1.0
  420             9           9              1.0
  421            18          18              1.0
