Slot,Objective,R_nom,B_nom,R_wc,B_wc,Op,Adds,Removes,Time(s)
1,0.7810,0.9310,0.0500,N/A,N/A,0.2000,2,27,0.16
2,0.8618,1.0000,0.0618,N/A,N/A,0.2000,2,4,0.14
3,0.4924,0.5000,0.0924,N/A,N/A,0.1000,1,1,0.10
4,0.9060,1.0000,0.1060,N/A,N/A,0.2000,2,2,0.10
5,0.7563,1.0000,0.0563,N/A,N/A,0.3000,3,2,0.13
6,0.9156,1.0000,0.1156,N/A,N/A,0.2000,2,3,0.11
7,1.0157,1.0000,0.1157,N/A,N/A,0.1000,1,2,0.13
8,0.9921,1.0000,0.0921,N/A,N/A,0.1000,1,1,0.09
9,0.9384,1.0000,0.0384,N/A,N/A,0.1000,1,1,0.11
10,0.9079,1.0000,0.1079,N/A,N/A,0.2000,2,1,0.10
11,0.8282,1.0000,0.0282,N/A,N/A,0.2000,2,2,0.11
12,1.0025,1.0000,0.1025,N/A,N/A,0.1000,1,2,0.10
13,0.7735,1.0000,0.0735,N/A,N/A,0.3000,3,1,0.12
14,0.8277,1.0000,0.0277,N/A,N/A,0.2000,2,3,0.11
15,0.7421,1.0000,0.0421,N/A,N/A,0.3000,3,2,0.12
16,0.8606,1.0000,0.0606,N/A,N/A,0.2000,2,3,0.12
17,0.9472,1.0000,0.0472,N/A,N/A,0.1000,1,2,0.10
18,0.9844,1.0000,0.0844,N/A,N/A,0.1000,1,1,0.10
19,1.0037,1.0000,0.1037,N/A,N/A,0.1000,1,1,0.10
20,0.8745,1.0000,0.0745,N/A,N/A,0.2000,2,1,0.11
21,0.9039,1.0000,0.1039,N/A,N/A,0.2000,2,2,0.11
22,0.9324,1.0000,0.0324,N/A,N/A,0.1000,1,2,0.11
23,0.9248,1.0000,0.0248,N/A,N/A,0.1000,1,1,0.11
24,0.8988,1.0000,0.0988,N/A,N/A,0.2000,2,1,0.10
25,0.3510,0.5000,0.0510,N/A,N/A,0.2000,2,1,0.12
26,0.9130,1.0000,0.1130,N/A,N/A,0.2000,2,3,0.10
27,0.8286,1.0000,0.0286,N/A,N/A,0.2000,2,2,0.12
28,0.8542,1.0000,0.0542,N/A,N/A,0.2000,2,2,0.11
29,0.5655,1.0000,0.0655,N/A,N/A,0.5000,5,2,0.16
30,0.6496,0.8000,0.0496,N/A,N/A,0.2000,2,4,0.12
31,0.8419,1.0000,0.0419,N/A,N/A,0.2000,2,3,0.13
32,0.7764,1.0000,0.0764,N/A,N/A,0.3000,3,2,0.11
33,0.4209,0.6667,0.0542,N/A,N/A,0.3000,3,2,0.14
34,1.0154,1.0000,0.1154,N/A,N/A,0.1000,1,4,0.10
35,0.8000,1.0000,0.0000,N/A,N/A,0.2000,2,1,0.12
36,0.2397,0.5000,0.0397,N/A,N/A,0.3000,3,1,0.16
37,0.6851,0.7500,0.0351,N/A,N/A,0.1000,1,3,0.12
38,0.8694,1.0000,0.0694,N/A,N/A,0.2000,2,2,0.11
39,0.8662,1.0000,0.0662,N/A,N/A,0.2000,2,2,0.11
40,0.7644,1.0000,0.0644,N/A,N/A,0.3000,3,2,0.12
41,0.6983,1.0000,0.0983,N/A,N/A,0.4000,4,3,0.12
42,0.5814,0.7500,0.0314,N/A,N/A,0.2000,2,3,0.13
43,0.9103,1.0000,0.1103,N/A,N/A,0.2000,2,3,0.11
44,0.9833,1.0000,0.0833,N/A,N/A,0.1000,1,2,0.10
45,0.9364,1.0000,0.0364,N/A,N/A,0.1000,1,1,0.11
46,0.8166,1.0000,0.0166,N/A,N/A,0.2000,2,1,0.13
47,0.6478,1.0000,0.0478,N/A,N/A,0.4000,4,2,0.14
48,0.7500,0.7500,0.0000,N/A,N/A,0.0000,0,3,0.10
49,0.9000,1.0000,0.0000,N/A,N/A,0.1000,1,1,0.10
50,-0.0523,0.0000,0.0477,N/A,N/A,0.1000,1,0,0.12
51,0.7754,1.0000,0.0754,N/A,N/A,0.3000,3,2,0.12
52,0.3131,0.6667,0.0464,N/A,N/A,0.4000,4,2,0.16
53,0.4543,0.6000,0.0543,N/A,N/A,0.2000,2,3,0.12
54,0.7643,0.7500,0.1143,N/A,N/A,0.1000,1,3,0.10
55,0.7398,1.0000,0.0398,N/A,N/A,0.3000,3,2,0.14
56,0.4574,0.6667,0.0907,N/A,N/A,0.3000,3,2,0.12
57,0.5425,0.7500,0.0925,N/A,N/A,0.3000,3,3,0.12
58,0.6377,1.0000,0.0377,N/A,N/A,0.4000,4,4,0.15
59,0.7367,1.0000,0.0367,N/A,N/A,0.3000,3,4,0.14
60,0.7720,1.0000,0.0720,N/A,N/A,0.3000,3,3,0.12
61,0.8874,1.0000,0.0874,N/A,N/A,0.2000,2,3,0.11
62,0.9471,1.0000,0.0471,N/A,N/A,0.1000,1,2,0.10
63,0.7590,1.0000,0.0590,N/A,N/A,0.3000,3,1,0.12
64,0.1985,0.3333,0.0651,N/A,N/A,0.2000,2,1,0.13
65,0.7139,1.0000,0.0139,N/A,N/A,0.3000,3,4,0.16
66,0.7238,1.0000,0.0238,N/A,N/A,0.3000,3,3,0.15
67,0.6126,1.0000,0.0126,N/A,N/A,0.4000,4,3,0.17
68,0.7326,1.0000,0.0326,N/A,N/A,0.3000,3,4,0.14
69,0.8147,1.0000,0.0147,N/A,N/A,0.2000,2,3,0.14
70,0.5477,1.0000,0.0477,N/A,N/A,0.5000,5,2,0.16
71,0.9006,1.0000,0.1006,N/A,N/A,0.2000,2,5,0.10
72,0.6314,1.0000,0.0314,N/A,N/A,0.4000,4,2,0.16
73,1.0040,1.0000,0.1040,N/A,N/A,0.1000,1,4,0.10
74,0.9585,1.0000,0.0585,N/A,N/A,0.1000,1,1,0.10
75,0.8387,1.0000,0.0387,N/A,N/A,0.2000,2,1,0.11
76,0.5824,0.5000,0.0824,N/A,N/A,0.0000,0,1,0.09
77,0.7286,1.0000,0.0286,N/A,N/A,0.3000,3,1,0.13
78,0.7996,1.0000,0.0996,N/A,N/A,0.3000,3,3,0.11
79,0.0363,0.6667,0.0696,N/A,N/A,0.7000,7,2,0.17
80,0.6238,1.0000,0.0238,N/A,N/A,0.4000,4,8,0.15
81,0.5451,1.0000,0.0451,N/A,N/A,0.5000,5,4,0.16
82,0.6272,0.8000,0.0272,N/A,N/A,0.2000,2,4,0.15
83,0.7353,1.0000,0.0353,N/A,N/A,0.3000,3,3,0.14
84,1.0174,1.0000,0.1174,N/A,N/A,0.1000,1,3,0.09
85,0.7419,1.0000,0.0419,N/A,N/A,0.3000,3,1,0.13
86,0.7400,1.0000,0.0400,N/A,N/A,0.3000,3,3,0.13
87,0.7709,1.0000,0.0709,N/A,N/A,0.3000,3,3,0.13
88,0.7422,1.0000,0.0422,N/A,N/A,0.3000,3,3,0.13
89,0.5284,0.6667,0.0618,N/A,N/A,0.2000,2,2,0.12
90,0.7437,1.0000,0.0437,N/A,N/A,0.3000,3,3,0.14
91,0.6309,1.0000,0.0309,N/A,N/A,0.4000,4,3,0.15
92,0.5439,1.0000,0.0439,N/A,N/A,0.5000,5,4,0.16
93,0.6326,1.0000,0.0326,N/A,N/A,0.4000,4,5,0.15
94,0.6365,1.0000,0.0365,N/A,N/A,0.4000,4,4,0.14
95,0.7143,1.0000,0.0143,N/A,N/A,0.3000,3,4,0.12
96,0.3022,0.6667,0.0356,N/A,N/A,0.4000,4,2,0.17
97,0.6359,1.0000,0.0359,N/A,N/A,0.4000,4,5,0.15
98,0.5452,0.5000,0.0452,N/A,N/A,0.0000,0,2,0.13
99,0.5815,1.0000,0.0815,N/A,N/A,0.5000,5,2,0.15
100,0.8222,1.0000,0.0222,N/A,N/A,0.2000,2,5,0.11
101,0.7802,1.0000,0.0802,N/A,N/A,0.3000,3,2,0.12
