,timestamp,server,dataset
0,0,0,0
1,0,1,1
2,0,2,1
3,0,3,2
4,0,2,2
5,0,4,2
6,0,5,2
7,0,6,2
8,0,7,2
9,0,8,2
10,0,9,3
11,0,10,3
12,0,11,4
13,0,12,1
14,0,7,1
15,0,13,4
16,0,13,3
17,0,13,5
18,0,13,1
19,0,11,3
20,0,11,1
21,0,10,1
22,0,9,1
23,0,6,1
24,0,0,1
25,0,2,6
26,0,12,6
27,0,11,6
28,0,13,6
29,0,9,6
30,0,6,6
31,0,10,6
32,0,13,7
33,0,0,3
34,0,2,3
35,0,1,3
36,0,5,3
37,0,6,3
38,0,12,3
39,0,14,3
40,0,15,3
41,0,13,8
42,0,11,8
43,0,5,6
44,0,14,6
45,0,10,8
46,0,6,8
47,0,0,6
48,0,1,6
49,0,14,8
50,0,12,8
51,0,2,8
52,0,8,8
53,0,8,6
54,0,11,7
55,0,13,0
56,0,12,7
57,0,1,2
58,0,12,4
59,0,6,4
60,0,2,4
61,0,1,4
62,0,0,2
63,0,10,2
64,0,12,2
65,0,8,3
66,0,11,2
67,0,13,2
68,0,8,0
69,0,7,0
70,0,3,0
71,0,4,0
72,0,2,0
73,0,1,0
74,0,5,0
75,0,15,0
76,0,16,0
77,0,4,4
78,0,15,2
79,0,5,4
80,0,9,2
81,0,0,4
82,0,10,4
83,0,9,4
84,0,7,4
85,0,8,4
86,0,15,4
87,0,10,7
88,0,17,4
89,0,16,4
90,0,12,0
91,0,1,9
92,0,6,0
93,0,10,0
94,0,9,0
95,0,2,7
96,0,1,7
97,0,8,7
98,0,11,0
99,0,13,10
100,0,11,10
101,0,9,10
102,0,6,10
103,0,12,10
104,0,0,10
105,0,2,10
106,0,1,10
107,0,15,10
108,0,4,10
109,0,5,10
110,0,7,10
111,0,10,10
112,0,1,11
113,0,18,11
114,0,5,11
115,0,14,11
116,0,2,11
117,0,10,11
118,0,13,12
119,0,11,12
120,0,1,12
121,0,12,13
122,0,6,11
123,0,8,11
124,0,8,14
125,0,6,14
126,0,0,14
127,0,12,11
128,0,11,11
129,0,13,11
130,0,2,14
131,0,12,9
132,0,9,9
133,0,10,9
134,0,11,9
135,0,13,9
136,0,13,15
137,0,11,15
138,0,6,15
139,0,10,15
140,0,0,15
141,0,1,15
142,0,2,9
143,0,8,9
144,0,6,9
145,0,13,13
146,0,9,13
147,0,4,13
148,0,11,13
149,0,7,13
150,0,3,13
151,0,0,13
152,0,15,9
153,0,7,9
154,0,18,9
155,0,3,9
156,0,19,9
157,0,5,9
158,0,4,9
159,0,14,9
160,0,5,14
161,0,1,16
162,0,7,16
163,0,2,16
164,0,4,16
165,0,8,17
166,0,6,17
167,0,2,17
168,0,0,17
169,0,1,17
170,0,8,16
171,0,15,16
172,0,5,18
173,0,16,18
174,0,3,18
175,0,2,18
176,0,15,18
177,0,13,19
178,0,11,19
179,0,6,19
180,0,10,19
181,0,6,18
182,0,1,18
183,0,4,18
184,0,0,18
185,0,10,18
186,0,12,18
187,0,9,18
188,0,11,18
189,0,13,18
190,0,11,17
191,0,13,17
192,0,7,18
193,0,8,18
194,0,9,17
195,0,12,17
196,0,10,17
197,0,15,14
198,0,10,14
199,0,11,20
200,0,9,14
201,0,1,14
202,0,12,14
203,0,13,16
204,0,11,16
205,0,0,16
206,0,10,16
207,0,12,16
208,0,9,16
209,0,6,16
210,0,11,14
211,0,13,14
212,0,0,9
213,0,13,21
214,0,11,21
215,0,10,21
216,0,1,21
217,0,4,22
218,0,9,22
219,0,13,22
220,0,13,23
221,0,1,24
222,0,10,24
223,0,3,22
224,0,11,24
225,0,13,24
226,0,7,22
227,0,11,23
228,0,10,23
229,0,12,23
230,0,9,23
231,0,5,23
232,0,0,23
233,0,2,23
234,0,6,23
235,0,5,25
236,0,1,26
237,0,3,26
238,0,4,26
239,0,7,25
240,0,2,26
241,0,5,26
242,0,7,26
243,0,2,25
244,0,11,25
245,0,12,25
246,0,8,25
247,0,9,25
248,0,11,27
249,0,0,25
250,0,10,25
251,0,4,25
252,0,15,25
253,0,16,25
254,0,0,26
255,0,18,25
256,0,1,25
257,0,20,25
258,0,6,25
259,0,8,28
260,0,14,25
261,0,9,28
262,0,6,26
263,0,5,27
264,0,8,27
265,0,9,26
266,0,10,26
267,0,11,26
268,0,13,26
269,0,14,28
270,0,12,28
271,0,10,27
272,0,15,26
273,0,12,27
274,0,2,27
275,0,8,26
276,0,1,27
277,0,7,27
278,0,14,27
279,0,9,27
280,0,13,28
281,0,0,28
282,0,6,27
283,0,12,26
284,0,12,29
285,0,5,29
286,0,1,29
287,0,2,29
288,0,10,29
289,0,6,29
290,0,13,29
291,0,11,29
292,0,13,27
293,0,13,25
294,0,2,24
295,0,12,30
296,0,13,30
297,0,12,24
298,0,8,30
299,0,13,31
300,0,11,31
301,0,8,24
302,0,14,30
303,0,9,24
304,0,0,24
305,0,6,24
306,1,13,16
307,1,12,6
308,1,9,16
309,1,12,16
310,1,6,16
311,1,10,16
312,1,0,16
313,1,11,16
314,1,13,6
315,1,0,29
316,1,12,29
317,1,1,29
318,1,2,29
319,1,5,29
320,1,6,29
321,1,10,29
322,1,13,27
323,1,13,29
324,1,11,6
325,1,11,29
326,1,13,28
327,1,0,28
328,1,11,28
329,1,8,28
330,1,6,27
331,1,12,27
332,1,12,28
333,1,14,28
334,1,9,28
335,1,8,27
336,1,10,27
337,1,2,27
338,1,5,27
339,1,11,31
340,1,7,27
341,1,10,15
342,1,5,15
343,1,0,15
344,1,1,15
345,1,6,15
346,1,11,15
347,1,14,27
348,1,13,15
349,1,13,9
350,1,15,27
351,1,1,27
352,1,11,9
353,1,10,9
354,1,17,27
355,1,9,9
356,1,12,9
357,1,0,9
358,1,16,27
359,1,9,27
360,1,5,10
361,1,1,10
362,1,7,10
363,1,16,10
364,1,2,10
365,1,0,10
366,1,9,10
367,1,12,10
368,1,10,10
369,1,6,10
370,1,11,10
371,1,4,10
372,1,10,6
373,1,18,11
374,1,13,11
375,1,11,11
376,1,12,11
377,1,8,11
378,1,10,11
379,1,2,11
380,1,6,11
381,1,5,11
382,1,14,11
383,1,1,11
384,1,0,11
385,1,13,10
386,1,11,27
387,1,1,12
388,1,11,12
389,1,13,12
390,1,8,6
391,1,2,16
392,1,5,23
393,1,0,0
394,1,6,0
395,1,9,0
396,1,8,23
397,1,9,23
398,1,13,23
399,1,11,23
400,1,2,0
401,1,10,23
402,1,12,23
403,1,7,0
404,1,12,0
405,1,2,23
406,1,0,23
407,1,15,23
408,1,1,23
409,1,6,23
410,1,10,0
411,1,7,1
412,1,12,1
413,1,1,1
414,1,2,1
415,1,0,3
416,1,4,22
417,1,15,4
418,1,4,4
419,1,14,4
420,1,17,4
421,1,16,4
422,1,4,0
423,1,15,0
424,1,8,0
425,1,7,22
426,1,5,0
427,1,16,0
428,1,13,24
429,1,1,0
430,1,9,3
431,1,14,3
432,1,7,3
433,1,8,4
434,1,1,4
435,1,2,4
436,1,5,4
437,1,8,24
438,1,5,24
439,1,7,4
440,1,6,3
441,1,1,3
442,1,10,4
443,1,9,4
444,1,0,4
445,1,12,4
446,1,11,24
447,1,6,4
448,1,6,24
449,1,0,24
450,1,2,3
451,1,12,3
452,1,5,3
453,1,2,24
454,1,8,3
455,1,1,24
456,1,9,24
457,1,18,3
458,1,15,3
459,1,10,24
460,1,3,22
461,1,12,24
462,1,9,22
463,1,3,0
464,1,13,22
465,1,13,4
466,1,11,4
467,1,7,16
468,1,12,7
469,1,11,0
470,1,13,0
471,1,11,7
472,1,13,7
473,1,14,30
474,1,8,30
475,1,12,30
476,1,11,30
477,1,13,30
478,1,13,8
479,1,11,8
480,1,10,8
481,1,3,18
482,1,10,19
483,1,6,19
484,1,8,7
485,1,11,19
486,1,13,19
487,1,10,7
488,1,13,21
489,1,4,18
490,1,2,8
491,1,15,16
492,1,5,16
493,1,16,16
494,1,1,16
495,1,4,16
496,1,12,8
497,1,14,8
498,1,8,8
499,1,5,6
500,1,1,6
501,1,0,6
502,1,18,6
503,1,2,6
504,1,8,16
505,1,6,6
506,1,9,6
507,1,14,6
508,1,6,8
509,1,18,27
510,1,15,18
511,1,16,18
512,1,10,1
513,1,0,1
514,1,11,1
515,1,11,3
516,1,2,7
517,1,13,3
518,1,13,1
519,1,1,7
520,1,6,1
521,1,9,1
522,1,10,3
523,1,1,18
524,1,10,21
525,1,13,18
526,1,1,21
527,1,11,18
528,1,9,18
529,1,12,18
530,1,0,18
531,1,10,18
532,1,5,18
533,1,6,18
534,1,2,18
535,1,7,18
536,1,8,18
537,1,11,21
538,1,14,18
539,1,12,21
540,1,0,27
541,1,12,2
542,1,8,2
543,1,7,2
544,1,15,2
545,1,4,2
546,1,2,2
547,1,3,2
548,1,6,9
549,1,7,9
550,1,8,9
551,1,9,2
552,1,1,2
553,1,5,2
554,1,6,2
555,1,16,2
556,1,5,9
557,1,2,9
558,1,1,9
559,1,3,13
560,1,12,13
561,1,0,13
562,1,13,2
563,1,13,13
564,1,9,13
565,1,11,13
566,1,4,13
567,1,7,13
568,1,14,9
569,1,15,9
570,1,18,9
571,1,16,9
572,1,4,9
573,1,19,9
574,1,3,9
575,1,11,2
576,1,5,13
577,1,16,13
578,1,0,2
579,1,10,2
